campo,valor_original,valor_original_limpo,valor_normalizado,categoria,confianca,acao_recomendada,justificativa,aplicar_automaticamente,lote
instituicoes,Civil Society Working Group for the 2030 Agenda (GTSC A2030),civil society working group for the 2030 agenda (gtsc a2030),Civil Society Working Group for the 2030 Agenda,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Rodrigo Starling,rodrigo starling,Rodrigo Starling,Pessoa,alta,manter original,"Valor representa uma pessoa, não uma instituição. Manter original.",True,1
instituicoes,Gherzi,gherzi,Gherzi,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Programa das Nações Unidas para o Desenvolvimento (PNUD),programa das nacoes unidas para o desenvolvimento (pnud),Programa das Nações Unidas para o Desenvolvimento,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Secretaria de Estado de Planejamento do Acre,secretaria de estado de planejamento do acre,Secretaria de Estado de Planejamento do Acre,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,ARTICLE 19 Brazil,article 19 brazil,ARTICLE 19 Brasil,Instituição,alta,aplicar automático,Padronização do idioma para 'Brasil'.,True,1
instituicoes,"Gestos – Soropositividade, Comunicação e Gênero","gestos – soropositividade, comunicacao e genero","Gestos – Soropositividade, Comunicação e Gênero",Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Ação Educativa,acao educativa,Ação Educativa,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,ACT Promoção da Saúde,act promocao da saude,ACT Promoção da Saúde,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,ActionAid,actionaid,ActionAid,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Agenda Pública,agenda publica,Agenda Pública,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Aliança Resíduo Zero Brasil,alianca residuo zero brasil,Aliança Resíduo Zero Brasil,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Associação Brasileira de Combate ao Lixo no Mar - ABLM,associacao brasileira de combate ao lixo no mar - ablm,Associação Brasileira de Combate ao Lixo no Mar,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Associação Brasileira de Organizações Não Governamentais - ABONG,associacao brasileira de organizacoes nao governamentais - abong,Associação Brasileira de Organizações Não Governamentais,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Campanha Nacional pelo Direito à Educação,campanha nacional pelo direito a educacao,Campanha Nacional pelo Direito à Educação,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Casa Fluminense,casa fluminense,Casa Fluminense,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Centro Brasil de Saúde Global,centro brasil de saude global,Centro Brasil de Saúde Global,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Centro de Estudos do Mar - UFPR,centro de estudos do mar - ufpr,Centro de Estudos do Mar (UFPR),Instituição,alta,aplicar automático,Padronização da sigla da universidade entre parênteses.,True,1
instituicoes,Clímax Brasil,climax brasil,Clímax Brasil,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Coletivo Mangueiras,coletivo mangueiras,Coletivo Mangueiras,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Comitê de Articulação Energia e Comunidades,comite de articulacao energia e comunidades,Comitê de Articulação Energia e Comunidades,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Engajamundo,engajamundo,Engajamundo,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Federação Brasileira de Associações de Bibliotecários e Instituições - FEBAB,federacao brasileira de associacoes de bibliotecarios e instituicoes - febab,Federação Brasileira de Associações de Bibliotecários e Instituições,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Fórum de Ongs Aids do Estado de São Paulo,forum de ongs aids do estado de sao paulo,Fórum de ONGs AIDS do Estado de São Paulo,Instituição,alta,aplicar automático,Padronização da grafia de 'ONGs'.,True,1
instituicoes,Fórum Nacional de Prevenção e Erradicação do Trabalho Infantil - FNPETI,forum nacional de prevencao e erradicacao do trabalho infantil - fnpeti,Fórum Nacional de Prevenção e Erradicação do Trabalho Infantil,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Frente por uma Nova Política Energética para o Brasil,frente por uma nova politica energetica para o brasil,Frente por uma Nova Política Energética para o Brasil,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Fundação Grupo Esquel Brasil,fundacao grupo esquel brasil,Fundação Grupo Esquel Brasil,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Fundação Joaquim Nabuco - FUNDAJ,fundacao joaquim nabuco - fundaj,Fundação Joaquim Nabuco,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Geledés - Instituto da Mulher Negra,geledes - instituto da mulher negra,Geledés - Instituto da Mulher Negra,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,GT Agenda 2030 da Comissão de Política Urbana do Instituto de Arquitetos do Brasil,gt agenda 2030 da comissao de politica urbana do instituto de arquitetos do brasil,GT Agenda 2030 da Comissão de Política Urbana do Instituto de Arquitetos do Brasil,Instituição,alta,manter original,Nome já padronizado.,True,1
instituicoes,Instituto Brasileiro de Análises Sociais e Econômicas - IBASE,instituto brasileiro de analises sociais e economicas - ibase,Instituto Brasileiro de Análises Sociais e Econômicas,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Instituto de Desenvolvimento e Direitos Humanos - IDDH,instituto de desenvolvimento e direitos humanos - iddh,Instituto de Desenvolvimento e Direitos Humanos,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Instituto Brasileiro de Defesa do Consumidor - IDEC,instituto brasileiro de defesa do consumidor - idec,Instituto Brasileiro de Defesa do Consumidor,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Instituto Democracia e Sustentabilidade - IDS,instituto democracia e sustentabilidade - ids,Instituto Democracia e Sustentabilidade,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Instituto de Energia e Ambiente - IEE/ USP,instituto de energia e ambiente - iee/ usp,Instituto de Energia e Ambiente (IEE/USP),Instituição,alta,aplicar automático,Padronização da sigla entre parênteses e remoção de espaço antes da barra.,True,1
instituicoes,International Energy Initiative - IEI Brasil,international energy initiative - iei brasil,International Energy Initiative (IEI Brasil),Instituição,alta,aplicar automático,Padronização da sigla entre parênteses.,True,1
instituicoes,Instituto de Estudos Socioeconômicos - INESC,instituto de estudos socioeconomicos - inesc,Instituto de Estudos Socioeconômicos,Instituição,alta,aplicar automático,"Padronização do nome completo da instituição, removendo sigla redundante.",True,1
instituicoes,Instituto 5 Elementos - Educação para a Sustentabilidade,instituto 5 elementos - educacao para a sustentabilidade,Instituto 5 Elementos - Educação para a Sustentabilidade,Instituição,alta,manter original,Nome já padronizado.,True,1
