campo,valor_original,valor_original_limpo,valor_normalizado,categoria,confianca,acao_recomendada,justificativa,aplicar_automaticamente,lote
setor,Adaptação à Mudança do Clima,adaptacao a mudanca do clima,Adaptação à Mudança do Clima,"Meio Ambiente, Clima",alta,aplicar automático,Preserva especificidade do termo técnico.,True,1
setor,Administração Pública,administracao publica,Administração Pública,Governo,alta,manter original,Valor já adequado e claro.,True,1
setor,Administração Pública Estadual,administracao publica estadual,Administração Pública Estadual,Governo,alta,manter original,Valor já adequado e claro.,True,1
setor,Administração Pública Federal,administracao publica federal,Administração Pública Federal,Governo,alta,manter original,Valor já adequado e claro.,True,1
setor,"Administração Pública, Planejamento Urbano","administracao publica, planejamento urbano",Administração Pública e Planejamento Urbano,"Governo, Urbanismo",alta,aplicar automático,Padroniza conectivo em valor composto.,True,1
setor,Agricultura,agricultura,Agricultura,Setor Primário,alta,manter original,Valor já adequado e claro.,True,1
setor,Agropecuária,agropecuaria,Agropecuária,Setor Primário,alta,manter original,Valor já adequado e claro.,True,1
setor,Aviação Civil,aviacao civil,Aviação Civil,Transporte,alta,manter original,Valor já adequado e claro.,True,1
setor,Bioeconomia,bioeconomia,Bioeconomia,"Economia, Meio Ambiente",alta,aplicar automático,Preserva especificidade do termo técnico.,True,1
setor,Cacauicultura,cacauicultura,Cacauicultura,Agricultura,alta,manter original,Valor já adequado e claro.,True,1
setor,"Ciência, Tecnologia e Inovação","ciencia, tecnologia e inovacao","Ciência, Tecnologia e Inovação",Conhecimento,alta,manter original,Valor já adequado e claro.,True,1
setor,"Ciência, Tecnologia, Inovação, Trabalho, Indústria","ciencia, tecnologia, inovacao, trabalho, industria","Ciência, Tecnologia, Inovação, Trabalho e Indústria",Multissetorial,alta,aplicar automático,Padroniza conectivo em valor composto.,True,1
setor,Data Centers,data centers,Data Centers,"Tecnologia da Informação, Infraestrutura",alta,manter original,Valor já adequado e claro.,True,1
setor,Defesa,defesa,Defesa,Segurança,alta,manter original,Valor já adequado e claro.,True,1
setor,Defesa Nacional,defesa nacional,Defesa Nacional,Segurança,alta,manter original,Valor já adequado e claro.,True,1
setor,Desenvolvimento,desenvolvimento,Desenvolvimento,,baixa,revisar manualmente,"Termo muito genérico, requer contexto para categorização.",False,1
setor,Desenvolvimento Econômico,desenvolvimento economico,Desenvolvimento Econômico,Economia,alta,aplicar automático,Preserva especificidade do termo técnico.,True,1
setor,Desenvolvimento Econômico Sustentável,desenvolvimento economico sustentavel,Desenvolvimento Econômico Sustentável,"Economia, Sustentabilidade",alta,aplicar automático,Preserva especificidade do termo técnico.,True,1
setor,Desenvolvimento Estadual,desenvolvimento estadual,Desenvolvimento Estadual,Governo,media,revisar manualmente,"Termo 'Desenvolvimento' é genérico, mas 'Estadual' dá contexto. Requer revisão para refinar categoria.",False,1
setor,Desenvolvimento Integrado,desenvolvimento integrado,Desenvolvimento Integrado,,baixa,revisar manualmente,"Termo 'Desenvolvimento' é genérico, 'Integrado' não especifica o tipo. Requer contexto.",False,1
setor,Desenvolvimento Nacional,desenvolvimento nacional,Desenvolvimento Nacional,Governo,media,revisar manualmente,"Termo 'Desenvolvimento' é genérico, mas 'Nacional' dá contexto. Requer revisão para refinar categoria.",False,1
setor,Desenvolvimento Regional,desenvolvimento regional,Desenvolvimento Regional,"Geografia, Desenvolvimento",media,revisar manualmente,"Termo 'Desenvolvimento' é genérico, mas 'Regional' dá contexto. Requer revisão para refinar categoria.",False,1
setor,Desenvolvimento Social,desenvolvimento social,Desenvolvimento Social,Social,alta,manter original,Valor já adequado e claro.,True,1
setor,Desenvolvimento Sustentável,desenvolvimento sustentavel,Desenvolvimento Sustentável,"Sustentabilidade, Meio Ambiente",alta,manter original,Valor já adequado e claro.,True,1
setor,Desenvolvimento Urbano,desenvolvimento urbano,Desenvolvimento Urbano,Urbanismo,alta,manter original,Valor já adequado e claro.,True,1
setor,Desenvolvimento Urbano e Regional,desenvolvimento urbano e regional,Desenvolvimento Urbano e Regional,"Urbanismo, Geografia",alta,manter original,Valor já adequado e claro.,True,1
setor,Development,development,Development,,baixa,revisar manualmente,"Termo genérico em inglês, requer tradução e contexto para categorização.",False,1
setor,Direitos Humanos e Assistência Social,direitos humanos e assistencia social,Direitos Humanos e Assistência Social,Social,alta,manter original,Valor já adequado e claro.,True,1
setor,Economia,economia,Economia,Economia,alta,manter original,Valor já adequado e claro.,True,1
setor,"Economia, Social, Meio Ambiente, Educação, Infraestrutura, Finanças Públicas","economia, social, meio ambiente, educacao, infraestrutura, financas publicas","Economia, Social, Meio Ambiente, Educação, Infraestrutura e Finanças Públicas",Multissetorial,alta,aplicar automático,"Preserva todos os setores mencionados, padronizando conectivo.",True,1
setor,Educação,educacao,Educação,Social,alta,manter original,Valor já adequado e claro.,True,1
setor,Empresarial,empresarial,Empresarial,Setor Privado,alta,manter original,Valor já adequado e claro.,True,1
setor,Energia,energia,Energia,Infraestrutura,alta,manter original,Valor já adequado e claro.,True,1
setor,"Energia, Agricultura, Manejo Florestal, Transporte, Indústria, Infraestrutura, Cidades, Proteção Social","energia, agricultura, manejo florestal, transporte, industria, infraestrutura, cidades, protecao social","Energia, Agricultura, Manejo Florestal, Transporte, Indústria, Infraestrutura, Cidades e Proteção Social",Multissetorial,alta,aplicar automático,"Preserva todos os setores mencionados, padronizando conectivo.",True,1
setor,"Energia, Gás Natural, Setor Elétrico","energia, gas natural, setor eletrico","Energia, Gás Natural e Setor Elétrico",Energia,alta,aplicar automático,"Preserva especificidade dos sub-setores, padronizando conectivo.",True,1
setor,Energético,energetico,Energia,Infraestrutura,alta,aplicar automático,Normaliza adjetivo para substantivo correspondente.,True,1
setor,Fertilizantes,fertilizantes,Fertilizantes,"Indústria Química, Agricultura",alta,manter original,Valor já adequado e claro.,True,1
setor,"Florestas, Agricultura, Agropecuária, Silvicultura","florestas, agricultura, agropecuaria, silvicultura","Florestas, Agricultura, Agropecuária e Silvicultura",Setor Primário,alta,aplicar automático,"Preserva todos os setores mencionados, padronizando conectivo.",True,1
setor,"Food systems, Agriculture, Fisheries, Health, Infrastructure","food systems, agriculture, fisheries, health, infrastructure","Sistemas Alimentares, Agricultura, Pesca, Saúde e Infraestrutura",Multissetorial,alta,aplicar automático,"Traduz e preserva todos os setores mencionados, padronizando conectivo.",True,1
setor,"Geologia, Mineração e Transformação Mineral","geologia, mineracao e transformacao mineral","Geologia, Mineração e Transformação Mineral","Setor Primário, Indústria",alta,manter original,Valor já adequado e claro.,True,1
setor,Gestão Pública Estadual,gestao publica estadual,Gestão Pública Estadual,Governo,alta,manter original,Valor já adequado e claro.,True,1
setor,Governamental,governamental,Governo,Governo,alta,aplicar automático,Normaliza adjetivo para substantivo correspondente.,True,1
setor,"Governança Estratégica, Políticas Públicas","governanca estrategica, politicas publicas",Governança Estratégica e Políticas Públicas,Governo,alta,aplicar automático,Padroniza conectivo em valor composto.,True,1
setor,Governo Municipal e Metropolitano,governo municipal e metropolitano,Governo Municipal e Metropolitano,Governo,alta,manter original,Valor já adequado e claro.,True,1
setor,Habitação,habitacao,Habitação,"Social, Infraestrutura",alta,manter original,Valor já adequado e claro.,True,1
setor,"Habitação, Política habitacional, Setor privado, Governo","habitacao, politica habitacional, setor privado, governo","Habitação, Política Habitacional, Setor Privado e Governo",Multissetorial,alta,aplicar automático,Padroniza conectivo e caixa em valor composto.,True,1
setor,Indústria,industria,Indústria,Setor Secundário,alta,manter original,Valor já adequado e claro.,True,1
setor,Infraestrutura,infraestrutura,Infraestrutura,Infraestrutura,alta,manter original,Valor já adequado e claro.,True,1
setor,"Infraestrutura logística (rodoviário, ferroviário, hidroviário e portuário)","infraestrutura logistica (rodoviario, ferroviario, hidroviario e portuario)","Infraestrutura Logística (Rodoviário, Ferroviário, Hidroviário e Portuário)","Infraestrutura, Transporte",alta,aplicar automático,Preserva detalhes específicos da infraestrutura logística.,True,1
setor,Intelligence,intelligence,Intelligence,,baixa,revisar manualmente,"Termo em inglês ambíguo, requer contexto para tradução e categorização.",False,1
setor,Logística e Transportes,logistica e transportes,Logística e Transportes,"Transporte, Logística",alta,aplicar automático,"Preserva ambos os termos, que são relacionados mas distintos.",True,1
setor,Meio Ambiente,meio ambiente,Meio Ambiente,Meio Ambiente,alta,manter original,Valor já adequado e claro.,True,1
setor,Meio Ambiente e Mudanças Climáticas,meio ambiente e mudancas climaticas,Meio Ambiente e Mudanças Climáticas,"Meio Ambiente, Clima",alta,aplicar automático,"Preserva ambos os termos, que são relacionados mas distintos.",True,1
setor,Meio Ambiente e Sustentabilidade,meio ambiente e sustentabilidade,Meio Ambiente e Sustentabilidade,"Meio Ambiente, Sustentabilidade",alta,aplicar automático,"Preserva ambos os termos, que são relacionados mas distintos.",True,1
setor,Mineração,mineracao,Mineração,Setor Primário,alta,manter original,Valor já adequado e claro.,True,1
setor,Mudança do Clima,mudanca do clima,Mudança do Clima,"Meio Ambiente, Clima",alta,aplicar automático,Preserva especificidade do termo técnico.,True,1
setor,Multissetorial,multissetorial,Multissetorial,Geral,alta,manter original,Valor já adequado e claro.,True,1
setor,Planejamento Governamental,planejamento governamental,Planejamento Governamental,Governo,alta,manter original,Valor já adequado e claro.,True,1
setor,Planejamento Urbano e Regional,planejamento urbano e regional,Planejamento Urbano e Regional,"Urbanismo, Geografia",alta,manter original,Valor já adequado e claro.,True,1
setor,Política Ambiental,politica ambiental,Política Ambiental,"Meio Ambiente, Governo",alta,aplicar automático,Preserva especificidade do termo técnico.,True,1
setor,"Políticas Públicas, Desenvolvimento, Planejamento Estratégico","politicas publicas, desenvolvimento, planejamento estrategico","Políticas Públicas, Desenvolvimento e Planejamento Estratégico","Governo, Desenvolvimento",media,revisar manualmente,Padroniza conectivo. 'Desenvolvimento' é genérico e pode precisar de mais contexto.,False,1
setor,Propriedade Intelectual,propriedade intelectual,Propriedade Intelectual,"Direito, Conhecimento",alta,manter original,Valor já adequado e claro.,True,1
setor,Public Governance,public governance,Governança Pública,Governo,alta,aplicar automático,Traduz termo em inglês para português.,True,1
setor,Public Policy,public policy,Política Pública,Governo,alta,aplicar automático,Traduz termo em inglês para português.,True,1
setor,Public Sector,public sector,Setor Público,Governo,alta,aplicar automático,Traduz termo em inglês para português.,True,1
setor,Público,publico,Setor Público,Governo,alta,aplicar automático,Normaliza adjetivo para substantivo correspondente.,True,1
setor,Recursos Hídricos,recursos hidricos,Recursos Hídricos,"Meio Ambiente, Infraestrutura",alta,manter original,Valor já adequado e claro.,True,1
setor,Recursos Hídricos e Saneamento Básico,recursos hidricos e saneamento basico,Recursos Hídricos e Saneamento Básico,"Meio Ambiente, Infraestrutura",alta,manter original,Valor já adequado e claro.,True,1
setor,Resíduos Sólidos,residuos solidos,Resíduos Sólidos,"Meio Ambiente, Infraestrutura",alta,manter original,Valor já adequado e claro.,True,1
setor,Saneamento,saneamento,Saneamento,Infraestrutura,alta,manter original,Valor já adequado e claro.,True,1
setor,Saneamento Básico,saneamento basico,Saneamento Básico,Infraestrutura,alta,manter original,Valor já adequado e claro.,True,1
setor,Saúde,saude,Saúde,Social,alta,manter original,Valor já adequado e claro.,True,1
setor,Segurança Alimentar e Nutricional,seguranca alimentar e nutricional,Segurança Alimentar e Nutricional,"Social, Alimentação",alta,aplicar automático,Preserva especificidade do termo técnico.,True,1
setor,Segurança Pública e Defesa Social,seguranca publica e defesa social,Segurança Pública e Defesa Social,"Segurança, Social",alta,aplicar automático,Preserva especificidade do termo técnico.,True,1
setor,Setor produtivo e sociedade civil,setor produtivo e sociedade civil,Setor Produtivo e Sociedade Civil,Multissetorial,alta,aplicar automático,"Preserva ambos os termos, que são relacionados mas distintos.",True,1
setor,Social,social,Social,Social,alta,manter original,Valor já adequado e claro.,True,1
setor,Social (Infância e Adolescência),social (infancia e adolescencia),Social (Infância e Adolescência),Social,alta,manter original,Valor já adequado e claro.,True,1
setor,Tecnologias Digitais,tecnologias digitais,Tecnologias Digitais,Tecnologia da Informação,alta,manter original,Valor já adequado e claro.,True,1
setor,Terceiro Setor,terceiro setor,Terceiro Setor,Social,alta,manter original,Valor já adequado e claro.,True,1
setor,"Trabalho, Emprego e Renda","trabalho, emprego e renda","Trabalho, Emprego e Renda","Social, Economia",alta,manter original,Valor já adequado e claro.,True,1
setor,Transportes e Logística,transportes e logistica,Transporte e Logística,Setor Econômico,alta,aplicar automático,Padronização de plural e manutenção de ambos os setores.,True,2
setor,Têxteis técnicos,texteis tecnicos,Têxteis Técnicos,Setor Industrial,alta,aplicar automático,"Valor já adequado, apenas padronização de capitalização.",True,2
setor,"['Agropecuária', 'Etanol', 'Papel e celulose', 'Siderurgia', 'Exploração e produção de petróleo e gás natural offshore', 'Química', 'Bens de capital', 'Tecnologias da informação e da comunicação (TIC)', 'Aeroespacial']","['agropecuaria', 'etanol', 'papel e celulose', 'siderurgia', 'exploracao e producao de petroleo e gas natural offshore', 'quimica', 'bens de capital', 'tecnologias da informacao e da comunicacao (tic)', 'aeroespacial']","['Agropecuária', 'Etanol', 'Papel e Celulose', 'Siderurgia', 'Petróleo e Gás Offshore', 'Química', 'Bens de Capital', 'Tecnologia da Informação e Comunicação', 'Aeroespacial']",Setor Econômico,alta,aplicar automático,Normalização de termos e padronização de capitalização para lista de setores.,True,2
setor,"['Agropecuária', 'Mineração e Metalurgia', 'Alimentos', 'Bebidas', 'Papel e Celulose', 'Petróleo e Gás', 'Sucroenergético', 'Química', 'Indústria Farmacêutica', 'Tecnologia da Informação e Comunicação', 'Elétrico', 'Logística', 'Saneamento', 'Aeroespaço e Defesa']","['agropecuaria', 'mineracao e metalurgia', 'alimentos', 'bebidas', 'papel e celulose', 'petroleo e gas', 'sucroenergetico', 'quimica', 'industria farmaceutica', 'tecnologia da informacao e comunicacao', 'eletrico', 'logistica', 'saneamento', 'aeroespaco e defesa']","['Agropecuária', 'Mineração e Metalurgia', 'Alimentos', 'Bebidas', 'Papel e Celulose', 'Petróleo e Gás', 'Sucroenergético', 'Química', 'Indústria Farmacêutica', 'Tecnologia da Informação e Comunicação', 'Setor Elétrico', 'Logística', 'Saneamento', 'Aeroespaço e Defesa']",Setor Econômico,alta,aplicar automático,Normalização de termos para lista de setores.,True,2
setor,"['Agropecuária, Floresta e Outros Usos do Solo (AFOLU)', 'Energia', 'Industrial', 'Transportes', 'Resíduos', 'Edificações']","['agropecuaria, floresta e outros usos do solo (afolu)', 'energia', 'industrial', 'transportes', 'residuos', 'edificacoes']","['Agropecuária, Floresta e Uso do Solo', 'Energia', 'Indústria', 'Transporte', 'Resíduos', 'Edificações']",Setor Econômico/Ambiental,alta,aplicar automático,"Normalização de termos, remoção de acrônimo e padronização de plural para lista de setores.",True,2
