campo,valor_original,valor_original_limpo,valor_normalizado,categoria,confianca,acao_recomendada,justificativa,aplicar_automaticamente,lote
temas,Agenda 2030,agenda 2030,Agenda 2030,Iniciativa Global,alta,manter original,Valor já adequado e reconhecido.,True,1
temas,Objetivos de Desenvolvimento Sustentável (ODS),objetivos de desenvolvimento sustentavel (ods),Objetivos de Desenvolvimento Sustentável,Iniciativa Global,alta,aplicar automático,Remoção da sigla redundante para padronização e clareza em BI.,True,1
temas,ODS 1: Erradicação da Pobreza,ods 1: erradicacao da pobreza,ODS 1: Erradicação da Pobreza,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 2: Fome Zero e Agricultura Sustentável,ods 2: fome zero e agricultura sustentavel,ODS 2: Fome Zero e Agricultura Sustentável,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 3: Saúde e Bem-Estar,ods 3: saude e bem-estar,ODS 3: Saúde e Bem-Estar,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 4: Educação de Qualidade,ods 4: educacao de qualidade,ODS 4: Educação de Qualidade,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 5: Igualdade de Gênero,ods 5: igualdade de genero,ODS 5: Igualdade de Gênero,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 6: Água Potável e Saneamento,ods 6: agua potavel e saneamento,ODS 6: Água Potável e Saneamento,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 7: Energia Limpa e Acessível,ods 7: energia limpa e acessivel,ODS 7: Energia Limpa e Acessível,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 8: Trabalho Decente e Crescimento Econômico,ods 8: trabalho decente e crescimento economico,ODS 8: Trabalho Decente e Crescimento Econômico,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,"ODS 9: Indústria, Inovação e Infraestrutura","ods 9: industria, inovacao e infraestrutura","ODS 9: Indústria, Inovação e Infraestrutura",Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 10: Redução das Desigualdades,ods 10: reducao das desigualdades,ODS 10: Redução das Desigualdades,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 11: Cidades e Comunidades Sustentáveis,ods 11: cidades e comunidades sustentaveis,ODS 11: Cidades e Comunidades Sustentáveis,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 12: Consumo e Produção Responsáveis,ods 12: consumo e producao responsaveis,ODS 12: Consumo e Produção Responsáveis,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 13: Ação Contra a Mudança Global do Clima,ods 13: acao contra a mudanca global do clima,ODS 13: Ação Contra a Mudança Global do Clima,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 14: Vida na Água,ods 14: vida na agua,ODS 14: Vida na Água,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 15: Vida Terrestre,ods 15: vida terrestre,ODS 15: Vida Terrestre,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,"ODS 16: Paz, Justiça e Instituições Eficazes","ods 16: paz, justica e instituicoes eficazes","ODS 16: Paz, Justiça e Instituições Eficazes",Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,ODS 17: Parcerias e Meios de Implementação,ods 17: parcerias e meios de implementacao,ODS 17: Parcerias e Meios de Implementação,Objetivo de Desenvolvimento Sustentável,alta,manter original,Valor já adequado e específico.,True,1
temas,COVID-19,covid-19,COVID-19,Saúde Pública,alta,manter original,Valor já adequado e reconhecido.,True,1
temas,Pandemia,pandemia,Pandemia,Saúde Pública,alta,manter original,Valor já adequado e genérico.,True,1
temas,Desigualdade,desigualdade,Desigualdade,Questão Social,alta,manter original,Valor já adequado e genérico.,True,1
temas,Crise política,crise politica,Crise Política,Cenário Político,alta,aplicar automático,Padronização de capitalização para consistência.,True,1
temas,Crise econômica,crise economica,Crise Econômica,Cenário Econômico,alta,aplicar automático,Padronização de capitalização para consistência.,True,1
temas,Crise ambiental,crise ambiental,Crise Ambiental,Meio Ambiente,alta,aplicar automático,Padronização de capitalização para consistência.,True,1
temas,Voluntariado,voluntariado,Voluntariado,Questão Social,alta,manter original,Valor já adequado e genérico.,True,1
temas,Sustentabilidade,sustentabilidade,Sustentabilidade,Meio Ambiente,alta,manter original,Valor já adequado e genérico.,True,1
temas,Terceiro Setor,terceiro setor,Terceiro Setor,Questão Social,alta,manter original,Valor já adequado e reconhecido.,True,1
temas,Ética,etica,Ética,Princípio,alta,manter original,Valor já adequado e genérico.,True,1
temas,Liderança,lideranca,Liderança,Gestão,alta,manter original,Valor já adequado e genérico.,True,1
temas,Cidades Inteligentes,cidades inteligentes,Cidades Inteligentes,Desenvolvimento Urbano,alta,manter original,Valor já adequado e reconhecido.,True,1
temas,I.A. Virturealidade,i.a. virturealidade,Inteligência Artificial e Virtualidade,Tecnologia,alta,aplicar automático,Expansão da sigla e correção de termo para clareza e padronização em BI.,True,1
