campo,valor_original,valor_original_limpo,valor_normalizado,categoria,confianca,acao_recomendada,justificativa,aplicar_automaticamente,lote
tipo_documento,Agenda,agenda,Agenda,Planejamento,alta,manter original,Valor já adequado.,True,1
tipo_documento,Agenda Estratégica,agenda estrategica,Agenda,Planejamento,alta,aplicar automático,Variação específica de 'Agenda'.,True,1
tipo_documento,Artigo em revista (resumo de relatório),artigo em revista (resumo de relatorio),Relatório,Relatório,media,revisar manualmente,"'Artigo em revista' é um tipo distinto, embora seja um resumo de relatório. Requer revisão para decidir a melhor categorização.",False,1
tipo_documento,Assessment Report,assessment report,Relatório,Relatório,alta,aplicar automático,Tradução e simplificação de 'Relatório de Avaliação'.,True,1
tipo_documento,Atlas,atlas,Atlas,Publicação,alta,manter original,Valor já adequado.,True,1
tipo_documento,Caderno,caderno,Caderno,Publicação,alta,manter original,Valor já adequado.,True,1
tipo_documento,Carteira de Projetos,carteira de projetos,Carteira de Projetos,Planejamento,alta,manter original,Valor já adequado.,True,1
tipo_documento,Communiqué,communique,Comunicado,Comunicação,alta,aplicar automático,Tradução para o português.,True,1
tipo_documento,Destaque,destaque,Destaque,Comunicação,alta,manter original,Valor já adequado.,True,1
tipo_documento,Documento Base,documento base,Documento Base,Documento,alta,manter original,Valor já adequado.,True,1
tipo_documento,Documento de Sistema de Gestão,documento de sistema de gestao,Documento de Sistema de Gestão,Documento,alta,manter original,Valor já adequado.,True,1
tipo_documento,Documento de Visão,documento de visao,Documento de Visão,Planejamento,alta,manter original,Valor já adequado.,True,1
tipo_documento,Documento de Visão Estratégica,documento de visao estrategica,Documento de Visão,Planejamento,alta,aplicar automático,Variação específica de 'Documento de Visão'.,True,1
tipo_documento,Documento de trabalho,documento de trabalho,Documento de Trabalho,Documento,alta,aplicar automático,Padronização de caixa.,True,1
tipo_documento,Draft Report,draft report,Relatório Preliminar,Relatório,alta,aplicar automático,"Tradução para o português, preservando o sentido de 'rascunho' ou 'preliminar'.",True,1
tipo_documento,Ensaio Prospectivo,ensaio prospectivo,Ensaio Prospectivo,Estudo,alta,manter original,Valor já adequado.,True,1
tipo_documento,Estratégia,estrategia,Estratégia,Planejamento,alta,manter original,Valor já adequado.,True,1
tipo_documento,Estratégia Federal de Desenvolvimento,estrategia federal de desenvolvimento,Estratégia,Planejamento,alta,aplicar automático,Variação específica de 'Estratégia'.,True,1
tipo_documento,Estratégia Nacional,estrategia nacional,Estratégia,Planejamento,alta,aplicar automático,Variação específica de 'Estratégia'.,True,1
tipo_documento,Estratégia e Plano de Ação,estrategia e plano de acao,Estratégia e Plano de Ação,Planejamento,media,revisar manualmente,Combina dois tipos documentais distintos. Requer revisão para decidir se deve ser mantido como um único tipo ou dividido.,False,1
tipo_documento,Estudo,estudo,Estudo,Estudo,alta,manter original,Valor já adequado.,True,1
tipo_documento,Estudo Estratégico,estudo estrategico,Estudo,Estudo,alta,aplicar automático,Variação específica de 'Estudo'.,True,1
tipo_documento,Estudo Técnico,estudo tecnico,Estudo,Estudo,alta,aplicar automático,Variação específica de 'Estudo'.,True,1
tipo_documento,Estudo de Cenários,estudo de cenarios,Estudo,Estudo,alta,aplicar automático,Variação específica de 'Estudo'.,True,1
tipo_documento,Estudo jurídico,estudo juridico,Estudo,Estudo,alta,aplicar automático,Variação específica de 'Estudo'.,True,1
tipo_documento,Livro,livro,Livro,Publicação,alta,manter original,Valor já adequado.,True,1
