campo,valor_original,valor_original_limpo,valor_normalizado,categoria,confianca,acao_recomendada,justificativa,aplicar_automaticamente,lote
setor,Desenvolvimento,desenvolvimento,Desenvolvimento,,baixa,revisar manualmente,"Termo muito genérico, requer contexto para categorização.",False,1
setor,Desenvolvimento Estadual,desenvolvimento estadual,Desenvolvimento Estadual,Governo,media,revisar manualmente,"Termo 'Desenvolvimento' é genérico, mas 'Estadual' dá contexto. Requer revisão para refinar categoria.",False,1
setor,Desenvolvimento Integrado,desenvolvimento integrado,Desenvolvimento Integrado,,baixa,revisar manualmente,"Termo 'Desenvolvimento' é genérico, 'Integrado' não especifica o tipo. Requer contexto.",False,1
setor,Desenvolvimento Nacional,desenvolvimento nacional,Desenvolvimento Nacional,Governo,media,revisar manualmente,"Termo 'Desenvolvimento' é genérico, mas 'Nacional' dá contexto. Requer revisão para refinar categoria.",False,1
setor,Desenvolvimento Regional,desenvolvimento regional,Desenvolvimento Regional,"Geografia, Desenvolvimento",media,revisar manualmente,"Termo 'Desenvolvimento' é genérico, mas 'Regional' dá contexto. Requer revisão para refinar categoria.",False,1
setor,Development,development,Development,,baixa,revisar manualmente,"Termo genérico em inglês, requer tradução e contexto para categorização.",False,1
setor,Intelligence,intelligence,Intelligence,,baixa,revisar manualmente,"Termo em inglês ambíguo, requer contexto para tradução e categorização.",False,1
setor,"Políticas Públicas, Desenvolvimento, Planejamento Estratégico","politicas publicas, desenvolvimento, planejamento estrategico","Políticas Públicas, Desenvolvimento e Planejamento Estratégico","Governo, Desenvolvimento",media,revisar manualmente,Padroniza conectivo. 'Desenvolvimento' é genérico e pode precisar de mais contexto.,False,1
setor,"['Educação e Desenvolvimento Humano', 'Atenção em Saúde', 'Defesa e Segurança', 'Desenvolvimento Social e Proteção', 'Desenvolvimento Econômico Sustentável', 'Ciência, Tecnologia e Inovação', 'Desenvolvimento Rural', 'Identidade Mineira', 'Cidades', 'Infraestrutura', 'Governo Integrado, Eficiente e Eficaz']","['educacao e desenvolvimento humano', 'atencao em saude', 'defesa e seguranca', 'desenvolvimento social e protecao', 'desenvolvimento economico sustentavel', 'ciencia, tecnologia e inovacao', 'desenvolvimento rural', 'identidade mineira', 'cidades', 'infraestrutura', 'governo integrado, eficiente e eficaz']","['Educação e Desenvolvimento Humano', 'Saúde', 'Defesa e Segurança', 'Desenvolvimento Social e Proteção', 'Desenvolvimento Econômico Sustentável', 'Ciência, Tecnologia e Inovação', 'Desenvolvimento Rural', 'Identidade Mineira', 'Cidades', 'Infraestrutura', 'Governo Integrado, Eficiente e Eficaz']",Política Pública,media,revisar manualmente,"Lista de áreas de política pública, com alguns termos que não são setores e requerem revisão ('Identidade Mineira', 'Governo Integrado, Eficiente e Eficaz').",False,2
setor,"['Energia', 'Florestas', 'Biomas', 'Agropecuária', 'Indústria', 'Resíduos', 'Transportes', 'Saúde']","['energia', 'florestas', 'biomas', 'agropecuaria', 'industria', 'residuos', 'transportes', 'saude']","['Energia', 'Setor Florestal', 'Biomas', 'Agropecuária', 'Indústria', 'Resíduos', 'Transporte', 'Saúde']",Misto (Setor/Conceito),media,revisar manualmente,"Normalização de termos e padronização de plural para lista de setores, com um termo ('Biomas') que não é um setor e requer revisão.",False,2
setor,"['Public investment', 'Regional development', 'Infrastructure', 'Multi-level governance']","['public investment', 'regional development', 'infrastructure', 'multi-level governance']","['Investimento Público', 'Desenvolvimento Regional', 'Infraestrutura', 'Governança Multinível']",Política Pública/Conceito,media,revisar manualmente,"Tradução e normalização de termos para lista de áreas, com um termo ('Governança Multinível') que não é um setor e requer revisão.",False,2
setor,"['Segurança', 'Saúde', 'Infraestrutura', 'Crescimento Econômico', 'Educação', 'Formação Profissional', 'Petróleo', 'Gás', 'Energia', 'Meio Ambiente', 'Logística']","['seguranca', 'saude', 'infraestrutura', 'crescimento economico', 'educacao', 'formacao profissional', 'petroleo', 'gas', 'energia', 'meio ambiente', 'logistica']","['Segurança', 'Saúde', 'Infraestrutura', 'Crescimento Econômico', 'Educação', 'Formação Profissional', 'Petróleo', 'Gás', 'Energia', 'Meio Ambiente', 'Logística']",Misto (Setor/Política/Conceito),media,revisar manualmente,"Lista mista de áreas (setores e políticas públicas), com um termo ('Crescimento Econômico') que não é um setor e requer revisão.",False,2
setor,"['economy', 'energy', 'automotive', 'aeronautics', 'space', 'industry', 'biopharmaceuticals', 'cultural and creative content production', 'training system', 'schools', 'higher education', 'digital technology', 'innovation', 'startups', 'research']","['economy', 'energy', 'automotive', 'aeronautics', 'space', 'industry', 'biopharmaceuticals', 'cultural and creative content production', 'training system', 'schools', 'higher education', 'digital technology', 'innovation', 'startups', 'research']","['Economia', 'Energia', 'Automotivo', 'Aeronáutica', 'Setor Espacial', 'Indústria', 'Biofarmacêuticos', 'Produção de Conteúdo Cultural e Criativo', 'Sistema de Treinamento', 'Educação Básica', 'Ensino Superior', 'Tecnologia Digital', 'Inovação', 'Startups', 'Pesquisa']",Misto (Setor/Conceito/Atividade),baixa,revisar manualmente,"Lista mista de setores, conceitos e atividades. Requer revisão detalhada para categorização de cada item.",False,2
