id_documento_logico,nome_documento,arquivo_origem,motivos
doc_1ef6f7fd04bfc171,2050: voluntariado e sustentabilidade,002.pdf,abrangencia_revisar | aplicou_estudo_futuro_revisar
doc_196accfdd54b1443,Acompanhando a agenda 2030 para o desenvolvimento sustentável: subsídios iniciais do Sistema das Nações Unidas no Brasil sobre a identificação de indicadores nacionais referentes aos objetivos de desenvolvimento sustentável,004.pdf,aplicou_estudo_futuro_revisar
doc_a76fbd8ca74124fd,"AS PROPOSTAS DO MOVIMENTO SINDICAL PARA A 5ª CONFERÊNCIA NACIONAL DE CIÊNCIA, TECNOLOGIA & INOVAÇÃO",007.pdf,familia_do_metodo_revisar
doc_4ad2cb27d384f284,Construindo uma potência ambiental Brasil 2045,011.pdf,familia_do_metodo_revisar
doc_ee8d5a4d00a557b4,Ceará 2050,015.pdf,ano_publicacao_ausente | aplicou_estudo_futuro_revisar | setor_revisar
doc_513d04faa5e21448,Conjuntura dos Recursos Hídricos no Brasil 2021: relatório pleno,019.pdf,familia_do_metodo_revisar
doc_0caeb7161581d9e5,Ensaio Prospectivo,025.pdf,ano_publicacao_ausente
doc_1c16336d699329c9,,028.pdf,nome_documento_ausente | ano_publicacao_ausente | tipo_documento_revisar | abrangencia_revisar | aplicou_estudo_futuro_revisar | setor_revisar
doc_bbc1d60b2a0acd32,Estudo sobre descarbonização do setor de infraestrutura logística,029.pdf,familia_do_metodo_revisar
doc_978ee2b3dfb00ea9,PLANO NACIONAL DE RESÍDUOS SÓLIDOS,031.pdf,familia_do_metodo_revisar
doc_595ee8b0e2802062,"France 2030 : one year of action to live better, produce better and understand better",033.pdf,aplicou_estudo_futuro_revisar
doc_88b4cb0e734fe953,Panoramas Setoriais 2030: Desafios e oportunidades para o Brasil,047.pdf,aplicou_estudo_futuro_revisar
doc_40fe95addf892ff4,Plano Brasil Digital 2030+,051.pdf,aplicou_estudo_futuro_revisar
doc_543497aae7e2ed2e,PLANO DE DESENVOLVIMENTO ESTADUAL SUSTENTÁVEL DE RONDÔNIA,054.pdf,familia_do_metodo_revisar
doc_21284b658826eef4,PDI BAHIA 2035,055.pdf,familia_do_metodo_revisar
doc_bfe3afed9550c199,,056.pdf,nome_documento_ausente | ano_publicacao_ausente | tipo_documento_revisar | abrangencia_revisar | aplicou_estudo_futuro_revisar | setor_revisar
doc_9f3a134a7383d52e,"Plano Estadual Decenal de Promoção, Proteção e Defesa do Direito de Crianças e Adolescentes à Convivência Familiar e Comunitária",058.pdf,familia_do_metodo_revisar
doc_802bcf589341f34f,Plano Estratégico de Longo Prazo Maranhão 2050,063.pdf,ano_publicacao_ausente
doc_77967d1c8364362b,Plano Estratégico do Distrito Federal 2019-2060,064.pdf,familia_do_metodo_revisar
doc_4b9c3ee8f5c8c4a3,PLANO INDÚSTRIA 10+,065.pdf,ano_publicacao_ausente
doc_55e923e31d17a26d,PLANO INOVA CACAU 2030,066.pdf,familia_do_metodo_revisar
doc_f55ee42f586c0e21,Plano Mineiro de Desenvolvimento Integrado 2019-2030,068.pdf,aplicou_estudo_futuro_revisar
doc_582f154548ded28e,"Conae 2024 – Documento Base - Plano Nacional de Educação (2024-2034): política de Estado para a garantia da educação como direito humano, com justiça social e desenvolvimento socioambiental sustentável",069.pdf,familia_do_metodo_revisar
doc_96585da415523d23,POLÍTICA NACIONAL DE DEFESA E ESTRATÉGIA NACIONAL DE DEFESA,071.pdf,ano_publicacao_ausente
doc_18f21e6105486509,Plano Nacional de Segurança Hídrica,077.pdf,familia_do_metodo_revisar
doc_1d05a87563e033ea,PLANO NACIONAL DE SEGURANÇA PÚBLICA E DEFESA SOCIAL 2021-2030,078.pdf,familia_do_metodo_revisar
doc_cf992674794f4be4,Plano Setorial para Adaptação à Mudança do Clima e Baixa Emissão de Carbono na Agropecuária 2020-2030 : Plano Operacional,081.pdf,aplicou_estudo_futuro_revisar
doc_4fbfb77ca9b157e2,Produtividade e o futuro da economia brasileira,083.pdf,aplicou_estudo_futuro_revisar
doc_50ab4b4afbd32236,Recife 500 anos: plano estratégico de longo prazo para o desenvolvimento da cidade,087.pdf,familia_do_metodo_revisar
doc_4b1665532f036257,UNDP Signals Spotlight 2023,088.pdf,familia_do_metodo_revisar
doc_eeaa6cfe7f674c72,T20 Brasil Communiqué,090.pdf,ano_publicacao_ausente
doc_aac304772b302f6e,PROJETO VISÃO 2050: TRANSFORMANDO A INDÚSTRIA EM RORAIMA,098.pdf,ano_publicacao_ausente | aplicou_estudo_futuro_revisar
doc_c1a3812919bc1a86,Visão Brasil 2030: Contribuindo para a transformação do Brasil,099.pdf,setor_revisar
doc_28835709fa751d8b,MEGATENDÊNCIAS MUNDIAIS 2040: Contribuição para um debate de longo prazo para o Brasil,103.pdf,setor_revisar
doc_7282532e36c67ef7,A agenda de desenvolvimento do Futuro RS em sintonia com os Objetivos de Desenvolvimento Sustentável (ODS),104.pdf,familia_do_metodo_revisar
doc_becc99e6695d77c6,Estratégia e Plano de Ação Nacionais para a Biodiversidade – EPANB 2025–2030,105.pdf,aplicou_estudo_futuro_revisar
doc_8a1f437f49387a60,PARAÍBA 2040,109.pdf,ano_publicacao_ausente | familia_do_metodo_revisar
doc_c7149c8644dd51ca,Estratégia Nacional de Propriedade Intelectual (ENPI),111.pdf,aplicou_estudo_futuro_revisar
doc_256037f6af1c55cf,Gestão para a Cidadania,112.pdf,ano_publicacao_ausente
doc_e8130e03db42559a,,115.pdf,nome_documento_ausente | tipo_documento_revisar | abrangencia_revisar | aplicou_estudo_futuro_revisar | setor_revisar
doc_b725695f41463312,O Futuro das Metrópoles Paulistas: Plano de Ação da Macrometrópole Paulista 2013 :: 2040,116.pdf,aplicou_estudo_futuro_revisar
doc_0aa337fd3de039dc,"Plano de Ação da Macrometrópole Paulista 2013-2040: política de desenvolvimento da macrometrópole, volume 1",118.pdf,familia_do_metodo_revisar
doc_393920afed57966a,Plano Brasil Sem Fome,125.pdf,ano_publicacao_ausente
doc_00bb4278a9f6d3d9,"Estratégia Nacional de Ciência, Tecnologia e Inovação (ENCTI - 2024-2034) Para um Brasil justo, desenvolvido e soberano",128.pdf,familia_do_metodo_revisar
doc_1fc1aa55b52a41de,Relatório da Pesquisa Quantitativa,130.pdf,familia_do_metodo_revisar
doc_9e5b698532a5d164,Plano de Longo Prazo de Mato Grosso,133.pdf,familia_do_metodo_revisar
doc_6c9ba59f4dd011b7,Plano de Desenvolvimento Econômico Sustentável do Piauí,140.pdf,familia_do_metodo_revisar
doc_196c8e9b85f6f1c2,Plano Piauí 2030 – Eixo 1 – Meio ambiente e mudanças climáticas,143.pdf,familia_do_metodo_revisar
doc_f4f7020170fc8c8d,Plano Piauí 2030 – Eixo 3 - Infraestrutura,145.pdf,aplicou_estudo_futuro_revisar
doc_aac6d7d83b72c1c7,Plano Piauí 2030 – Eixo 4 – Redução das desigualdades,146.pdf,aplicou_estudo_futuro_revisar
