instituicao_responsavel_original,instituicao_responsavel_normalizada,instituicoes_apoio_originais,instituicoes_apoio_normalizadas,arquivo_origem,id_documento_logico
Civil Society Working Group for the 2030 Agenda (GTSC A2030),GTSC A2030,"[""ARTICLE 19 Brazil"", ""Gestos – Soropositividade, Comunicação e Gênero"", ""Ação Educativa"", ""ACT Promoção da Saúde"", ""ActionAid"", ""Agenda Pública"", ""Aliança Resíduo Zero Brasil"", ""ARTIGO 19"", ""Associação Brasileira de Combate ao Lixo no Mar - ABLM"", ""Associação Brasileira de Organizações Não Governamentais - ABONG"", ""Campanha Nacional pelo Direito à Educação"", ""Casa Fluminense"", ""Centro Brasil de Saúde Global"", ""Centro de Estudos do Mar - UFPR"", ""Clímax Brasil"", ""Coletivo Mangueiras"", ""Comitê de Articulação Energia e Comunidades"", ""Engajamundo"", ""Federação Brasileira de Associações de Bibliotecários e Instituições - FEBAB"", ""Fórum de Ongs Aids do Estado de São Paulo"", ""Fórum Nacional de Prevenção e Erradicação do Trabalho Infantil - FNPETI"", ""Frente por uma Nova Política Energética para o Brasil"", ""Fundação Grupo Esquel Brasil"", ""Fundação Joaquim Nabuco - FUNDAJ"", ""Geledés - Instituto da Mulher Negra"", ""GT Agenda 2030 da Comissão de Política Urbana do Instituto de Arquitetos do Brasil"", ""Instituto Brasileiro de Análises Sociais e Econômicas - IBASE"", ""Instituto de Desenvolvimento e Direitos Humanos - IDDH"", ""Instituto Brasileiro de Defesa do Consumidor - IDEC"", ""Instituto Democracia e Sustentabilidade - IDS"", ""Instituto de Energia e Ambiente - IEE/ USP"", ""International Energy Initiative - IEI Brasil"", ""Instituto de Estudos Socioeconômicos - INESC"", ""Instituto 5 Elementos - Educação para a Sustentabilidade"", ""Instituto Água e Saneamento - IAS"", ""Instituto Costa Brasilis"", ""Instituto de Filosofia e Ciências Sociais - IFSC/ UFRJ"", ""Instituto de Pesca"", ""Instituto Maramar"", ""Instituto Nacional de Ciências e Tecnologia em Políticas Públicas, Estratégias e Desenvolvimento - INCT/PPED - UFRJ"", ""Instituto Oceanográfico - IO/USP"", ""Instituto Physis - Cultura & Ambiente"", ""Instituto Pólis"", ""Laboratório de Ecologia e Conservação Marinha, Instituto do Mar - UNIFESP"", ""Movimento Nacional das Cidadãs Posithivas - MNCP"", ""Observatório de Governança das Águas - OGA"", ""Observatório Metropolitano ODS - METRODS"", ""Oceano à Vista"", ""Ouvidoria do Mar"", ""Oxfam Brasil"", ""Parceria Brasileira contra a Tuberculose – Stop TB Brasil"", ""Plan Internacional Brasil"", ""Programa Cidades Sustentáveis"", ""Programa Interunidades de Pós-Graduação em Análise Ambiental Integrada - PPG-AAI/ UNIFESP"", ""Rede Brasileira de População e Desenvolvimento - REBRAPD"", ""Rede MAS - Mulheres Atuando pela Sustentabilidade"", ""Rede Nacional de Pessoas Vivendo com HIV e AIDS (RNP+ Brasil)"", ""The Nature Conservancy Brasil"", ""Transparência Internacional Brasil"", ""UnB 2030/ UnB"", ""Universidade de Brasília - UNB"", ""Universidade de Pernambuco - UPE"", ""Universidade do Estado do Rio de Janeiro - UERJ"", ""Universidade do Vale do Itajaí - UNIVALI"", ""Universidade Estadual do Maranhão - UEMA"", ""Universidade Federal da Grande Dourados - UFGD"", ""Universidade Federal de São Paulo - UNIFESP"", ""University College Cork/MaREI"", ""Visão Mundial"", ""Vital Strategies"", ""Wildlife Conservation Society Brasil"", ""WWF - Brasil""]","[""ARTICLE 19 Brazil"", ""Gestos – Soropositividade, Comunicação e Gênero"", ""Ação Educativa"", ""ACT Promoção da Saúde"", ""ActionAid"", ""Agenda Pública"", ""Aliança Resíduo Zero Brasil"", ""ARTIGO 19"", ""Associação Brasileira de Combate ao Lixo no Mar - ABLM"", ""Associação Brasileira de Organizações Não Governamentais - ABONG"", ""Campanha Nacional pelo Direito à Educação"", ""Casa Fluminense"", ""Centro Brasil de Saúde Global"", ""Centro de Estudos do Mar - UFPR"", ""Clímax Brasil"", ""Coletivo Mangueiras"", ""Comitê de Articulação Energia e Comunidades"", ""Engajamundo"", ""Federação Brasileira de Associações de Bibliotecários e Instituições - FEBAB"", ""Fórum de Ongs Aids do Estado de São Paulo"", ""Fórum Nacional de Prevenção e Erradicação do Trabalho Infantil - FNPETI"", ""Frente por uma Nova Política Energética para o Brasil"", ""Fundação Grupo Esquel Brasil"", ""Fundação Joaquim Nabuco - FUNDAJ"", ""Geledés - Instituto da Mulher Negra"", ""GT Agenda 2030 da Comissão de Política Urbana do Instituto de Arquitetos do Brasil"", ""Instituto Brasileiro de Análises Sociais e Econômicas - IBASE"", ""Instituto de Desenvolvimento e Direitos Humanos - IDDH"", ""Instituto Brasileiro de Defesa do Consumidor - IDEC"", ""Instituto Democracia e Sustentabilidade - IDS"", ""Instituto de Energia e Ambiente - IEE/ USP"", ""International Energy Initiative - IEI Brasil"", ""Instituto de Estudos Socioeconômicos - INESC"", ""Instituto 5 Elementos - Educação para a Sustentabilidade"", ""Instituto Água e Saneamento - IAS"", ""Instituto Costa Brasilis"", ""Instituto de Filosofia e Ciências Sociais - IFSC/ UFRJ"", ""Instituto de Pesca"", ""Instituto Maramar"", ""Instituto Nacional de Ciências e Tecnologia em Políticas Públicas, Estratégias e Desenvolvimento - INCT/PPED - UFRJ"", ""Instituto Oceanográfico - IO/USP"", ""Instituto Physis - Cultura & Ambiente"", ""Instituto Pólis"", ""Laboratório de Ecologia e Conservação Marinha, Instituto do Mar - UNIFESP"", ""Movimento Nacional das Cidadãs Posithivas - MNCP"", ""Observatório de Governança das Águas - OGA"", ""Observatório Metropolitano ODS - METRODS"", ""Oceano à Vista"", ""Ouvidoria do Mar"", ""Oxfam Brasil"", ""Parceria Brasileira contra a Tuberculose – Stop TB Brasil"", ""Plan Internacional Brasil"", ""Programa Cidades Sustentáveis"", ""Programa Interunidades de Pós-Graduação em Análise Ambiental Integrada - PPG-AAI/ UNIFESP"", ""Rede Brasileira de População e Desenvolvimento - REBRAPD"", ""Rede MAS - Mulheres Atuando pela Sustentabilidade"", ""Rede Nacional de Pessoas Vivendo com HIV e AIDS (RNP+ Brasil)"", ""The Nature Conservancy Brasil"", ""Transparência Internacional Brasil"", ""UnB 2030/ UnB"", ""Universidade de Brasília - UNB"", ""Universidade de Pernambuco - UPE"", ""Universidade do Estado do Rio de Janeiro - UERJ"", ""Universidade do Vale do Itajaí - UNIVALI"", ""Universidade Estadual do Maranhão - UEMA"", ""Universidade Federal da Grande Dourados - UFGD"", ""Universidade Federal de São Paulo - UNIFESP"", ""University College Cork/MaREI"", ""Visão Mundial"", ""Vital Strategies"", ""Wildlife Conservation Society Brasil"", ""WWF - Brasil""]",001.pdf,doc_5ba60d8ea1c8ec6a
Rodrigo Starling,Rodrigo Starling,[],[],002.pdf,doc_1ef6f7fd04bfc171
Gherzi,Gherzi,"[""SENAI-CETIQT"", ""SENAI SP""]","[""SENAI-CETIQT"", ""SENAI SP""]",003.pdf,doc_49e12d5670dda940
Programa das Nações Unidas para o Desenvolvimento (PNUD),Programa das Nações Unidas para o Desenvolvimento (PNUD),"[""Sistema das Nações Unidas no Brasil"", ""Organização das Nações Unidas para a Alimentação e a Agricultura (FAO)"", ""Comissão Econômica para a América Latina e o Caribe (Cepal)"", ""Centro de Excelência no Combate à Fome no Brasil"", ""Escritório das Nações Unidas para a Redução do Risco de Desastres (UNISDR)"", ""Programa das Nações Unidas para o Meio Ambiente (PNUMA)"", ""Programa das Nações Unidas para os Assentamentos Humanos (ONU-Habitat)"", ""Fundo das Nações Unidas para a Infância (Unicef)"", ""Programa Conjunto das Nações Unidas sobre HIV/AIDS (UNAIDS)"", ""Organização das Nações Unidas para o Desenvolvimento Industrial (Unido)"", ""Fundo de População das Nações Unidas (UNFPA)"", ""Organização Pan-Americana da Saúde (Opas)"", ""Organização Mundial da Saúde (OMS)"", ""International Policy Centre for Inclusive Growth (IPC-IG)"", ""Organização das Nações Unidas para a Educação, a Ciência e a Cultura (Unesco)"", ""Voluntários da ONU no Brasil"", ""ONU Mulheres"", ""Escritório das Nações Unidas sobre Drogas e Crime (UNODC)"", ""Organização Internacional do Trabalho (OIT)"", ""Escritório das Nações Unidas de Serviços para Projetos (Unops)""]","[""Sistema das Nações Unidas no Brasil"", ""Organização das Nações Unidas para a Alimentação e a Agricultura (FAO)"", ""Comissão Econômica para a América Latina e o Caribe (Cepal)"", ""Centro de Excelência no Combate à Fome no Brasil"", ""Escritório das Nações Unidas para a Redução do Risco de Desastres (UNISDR)"", ""Programa das Nações Unidas para o Meio Ambiente (PNUMA)"", ""Programa das Nações Unidas para os Assentamentos Humanos (ONU-Habitat)"", ""Fundo das Nações Unidas para a Infância (Unicef)"", ""Programa Conjunto das Nações Unidas sobre HIV/AIDS (UNAIDS)"", ""Organização das Nações Unidas para o Desenvolvimento Industrial (Unido)"", ""Fundo de População das Nações Unidas (UNFPA)"", ""Organização Pan-Americana da Saúde (Opas)"", ""Organização Mundial da Saúde (OMS)"", ""International Policy Centre for Inclusive Growth (IPC-IG)"", ""Organização das Nações Unidas para a Educação, a Ciência e a Cultura (Unesco)"", ""Voluntários da ONU no Brasil"", ""ONU Mulheres"", ""Escritório das Nações Unidas sobre Drogas e Crime (UNODC)"", ""Organização Internacional do Trabalho (OIT)"", ""Escritório das Nações Unidas de Serviços para Projetos (Unops)""]",004.pdf,doc_196accfdd54b1443
Governo do Estado do Acre,Governo do Estado do Acre,"[""Associação Comercial do Acre"", ""Associação de Mulheres Negras do Acre"", ""Associação de Pais e Amigos dos Excepcionais"", ""Associação dos Municípios do Acre"", ""Associação dos Professores Indígenas do Acre"", ""Banco da Amazônia"", ""Banco do Brasil"", ""Caixa Econômica Federal"", ""Companhia de Armazéns Gerais e Entrepostos do Acre"", ""Conselho Estadual da Pessoa Com Deficiência"", ""Conselho Nacional das Populações Extrativistas"", ""Conselho Estadual de Assistência Social"", ""Conselho Estadual de Cultura do Acre"", ""Conselho Regional de Engenharia e Arquitetura"", ""Conselho Estadual de Turismo"", ""Conselho Estadual do Direito da Criança e Adolescente"", ""Conselho Estadual do Direito Do Idoso"", ""Controladoria Geral do Estado"", ""Cooperativa Central de Comercialização Extrativista do Acre"", ""Cooperativa dos Produtores Florestais Comunitários"", ""Corpo de Bombeiros Militar do Acre"", ""Defensoria Pública Estadual"", ""Departamento de Estradas de Rodagem, Infraestrutura Hidroviária e Aeroportuária do Acre"", ""Departamento de Trânsito"", ""Empresa de Assistência Técnica e Extensão Rural do Estado do Acre"", ""Exército Brasileiro"", ""Federação das Industrias do Estado do Acre"", ""Federação do Comércio de Bens, Serviços e Turismo do Estado do Acre"", ""Federação da Agricultura e Pecuária do Estado do Acre"", ""Fórum Empresarial"", ""Fundação de Amparo à Pesquisa do Estado do Acre"", ""Fundação Nacional do Índio"", ""Instituto Brasileiro de Meio Ambiente Recursos Naturais Renováveis"", ""Instituto de Administração Penitenciária"", ""Instituto de Mudanças Climáticas e Regulação de Serviços Ambientais"", ""Instituto de Previdência do Estado do Acre"", ""Instituto de Terras do Acre"", ""Ministério Público do Estado do Acre"", ""Procuradoria Geral do Estado"", ""Secretaria de Patrimônio da União"", ""Serviço de Água e Esgoto de Rio Branco"", ""Serviço Social do Transporte e o Serviço Nacional de Aprendizagem do Transporte"", ""Sindicato de Técnicos e Gestores"", ""Tribunal de Contas do Estado do Acre"", ""Tribunal de Justiça do Estado do Acre"", ""Universidade Federal do Acre"", ""WWF""]","[""Associação Comercial do Acre"", ""Associação de Mulheres Negras do Acre"", ""Associação de Pais e Amigos dos Excepcionais"", ""Associação dos Municípios do Acre"", ""Associação dos Professores Indígenas do Acre"", ""Banco da Amazônia"", ""Banco do Brasil"", ""Caixa Econômica Federal"", ""Companhia de Armazéns Gerais e Entrepostos do Acre"", ""Conselho Estadual da Pessoa Com Deficiência"", ""Conselho Nacional das Populações Extrativistas"", ""Conselho Estadual de Assistência Social"", ""Conselho Estadual de Cultura do Acre"", ""Conselho Regional de Engenharia e Arquitetura"", ""Conselho Estadual de Turismo"", ""Conselho Estadual do Direito da Criança e Adolescente"", ""Conselho Estadual do Direito Do Idoso"", ""Controladoria Geral do Estado"", ""Cooperativa Central de Comercialização Extrativista do Acre"", ""Cooperativa dos Produtores Florestais Comunitários"", ""Corpo de Bombeiros Militar do Acre"", ""Defensoria Pública Estadual"", ""Departamento de Estradas de Rodagem, Infraestrutura Hidroviária e Aeroportuária do Acre"", ""Departamento de Trânsito"", ""Empresa de Assistência Técnica e Extensão Rural do Estado do Acre"", ""Exército Brasileiro"", ""Federação das Industrias do Estado do Acre"", ""Federação do Comércio de Bens, Serviços e Turismo do Estado do Acre"", ""Federação da Agricultura e Pecuária do Estado do Acre"", ""Fórum Empresarial"", ""Fundação de Amparo à Pesquisa do Estado do Acre"", ""Fundação Nacional do Índio"", ""Instituto Brasileiro de Meio Ambiente Recursos Naturais Renováveis"", ""Instituto de Administração Penitenciária"", ""Instituto de Mudanças Climáticas e Regulação de Serviços Ambientais"", ""Instituto de Previdência do Estado do Acre"", ""Instituto de Terras do Acre"", ""Ministério Público do Estado do Acre"", ""Procuradoria Geral do Estado"", ""Secretaria de Patrimônio da União"", ""Serviço de Água e Esgoto de Rio Branco"", ""Serviço Social do Transporte e o Serviço Nacional de Aprendizagem do Transporte"", ""Sindicato de Técnicos e Gestores"", ""Tribunal de Contas do Estado do Acre"", ""Tribunal de Justiça do Estado do Acre"", ""Universidade Federal do Acre"", ""WWF""]",005.pdf,doc_dd2f66377634241c
Movimento Brasil Competitivo,Movimento Brasil Competitivo,"[""Gerdau"", ""Toyota"", ""FGV""]","[""Gerdau"", ""Toyota"", ""FGV""]",006.pdf,doc_9c7970f324203879
Movimento Sindical (Centrais Sindicais e DIEESE),Movimento Sindical (Centrais Sindicais e DIEESE),[],[],007.pdf,doc_a76fbd8ca74124fd
Agência Nacional de Águas e Saneamento Básico (ANA),Agência Nacional de Águas e Saneamento Básico (ANA),"[""Ministério do Desenvolvimento Regional"", ""Consórcio Engecorps, TPF, Proffil""]","[""Ministério do Desenvolvimento Regional"", ""Consórcio Engecorps, TPF, Proffil""]",008.pdf,doc_f7ae5c3e1f6ed8bd
"Ministério do Desenvolvimento, Indústria e Serviços (MDIC)","Ministério do Desenvolvimento, Indústria e Serviços (MDIC)","[""Brasscom"", ""ABDI""]","[""Brasscom"", ""ABDI""]",009.pdf,doc_c545462db0d52f40
Ministério do Meio Ambiente,Ministério do Meio Ambiente,"[""Agência Nacional de Águas"", ""Câmara Interministerial de Segurança Alimentar e Nutricional"", ""Casa Civil da Presidência da República"", ""Centro Nacional de Monitoramento de Desastres Naturais"", ""Empresa Brasileira de Pesquisa Agropecuária"", ""Fórum Brasileiro de Mudanças Climáticas"", ""Fundação Nacional do Índio"", ""Fundação Oswaldo Cruz"", ""Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis"", ""Instituto Chico Mendes de Conservação da Biodiversidade"", ""Instituto Nacional de Pesquisas Espaciais"", ""Ministério da Agricultura, Pecuária e Abastecimento"", ""Ministério da Ciência, Tecnologia e Inovação"", ""Ministério da Integração Nacional"", ""Ministério das Cidades"", ""Ministério das Relações Exteriores"", ""Ministério de Minas e Energia"", ""Ministério do Desenvolvimento Agrário"", ""Ministério do Desenvolvimento Social e Combate à Fome"", ""Ministério do Desenvolvimento, Indústria e Comércio Exterior"", ""Ministério do Planejamento Orçamento e Gestão"", ""Ministério da Saúde"", ""Ministério dos Transportes"", ""Serviço Florestal Brasileiro"", ""Serviço Geológico do Brasil-CPRM"", ""Rede Clima"", ""Painel Brasileiro de Mudança do Clima (PBMC)"", ""Instituto Nacional de Meteorologia (Inmet)"", ""Instituto de Pesquisa Econômica Aplicada (IPEA)"", ""Instituto Brasileiro de Geografia e Estatística (IBGE)"", ""Plataforma ABC""]","[""Agência Nacional de Águas"", ""Câmara Interministerial de Segurança Alimentar e Nutricional"", ""Casa Civil da Presidência da República"", ""Centro Nacional de Monitoramento de Desastres Naturais"", ""Empresa Brasileira de Pesquisa Agropecuária"", ""Fórum Brasileiro de Mudanças Climáticas"", ""Fundação Nacional do Índio"", ""Fundação Oswaldo Cruz"", ""Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis"", ""Instituto Chico Mendes de Conservação da Biodiversidade"", ""Instituto Nacional de Pesquisas Espaciais"", ""Ministério da Agricultura, Pecuária e Abastecimento"", ""Ministério da Ciência, Tecnologia e Inovação"", ""Ministério da Integração Nacional"", ""Ministério das Cidades"", ""Ministério das Relações Exteriores"", ""Ministério de Minas e Energia"", ""Ministério do Desenvolvimento Agrário"", ""Ministério do Desenvolvimento Social e Combate à Fome"", ""Ministério do Desenvolvimento, Indústria e Comércio Exterior"", ""Ministério do Planejamento Orçamento e Gestão"", ""Ministério da Saúde"", ""Ministério dos Transportes"", ""Serviço Florestal Brasileiro"", ""Serviço Geológico do Brasil-CPRM"", ""Rede Clima"", ""Painel Brasileiro de Mudança do Clima (PBMC)"", ""Instituto Nacional de Meteorologia (Inmet)"", ""Instituto de Pesquisa Econômica Aplicada (IPEA)"", ""Instituto Brasileiro de Geografia e Estatística (IBGE)"", ""Plataforma ABC""]",010.pdf,doc_40cddb617bbea4df
