metodo_original,metodo_normalizado,arquivo_origem,id_documento_logico
Modelagem,Modelagem,003.pdf,doc_49e12d5670dda940
Projeção econométrica de cenários,Projeção econométrica de cenários,005.pdf,doc_dd2f66377634241c
Análise de estudos setoriais,Análise de estudos setoriais,006.pdf,doc_9c7970f324203879
Entrevistas,Entrevistas,006.pdf,doc_9c7970f324203879
Consultas,Consultas,006.pdf,doc_9c7970f324203879
Balanço Hídrico,Balanço Hídrico,008.pdf,doc_f7ae5c3e1f6ed8bd
Análise de Risco,Análise de Risco,008.pdf,doc_f7ae5c3e1f6ed8bd
Índice de Segurança Hídrica Urbano,Índice de Segurança Hídrica Urbano,008.pdf,doc_f7ae5c3e1f6ed8bd
Sistema de Suporte à Decisão (SSD),Sistema de Suporte à Decisão (SSD),008.pdf,doc_f7ae5c3e1f6ed8bd
Projeções climáticas regionalizadas,Projeções climáticas regionalizadas,010.pdf,doc_40cddb617bbea4df
Modelos climáticos,Modelos climáticos,010.pdf,doc_40cddb617bbea4df
Simulação de cenários,Simulação de cenários,010.pdf,doc_40cddb617bbea4df
Modelagem do Sistema Terrestre,Modelagem do Sistema Terrestre,010.pdf,doc_40cddb617bbea4df
Cenários de emissões de gases de efeito estufa do IPCC,Cenários de emissões de gases de efeito estufa do IPCC,010.pdf,doc_40cddb617bbea4df
Projeções de população,Projeções de população,012.pdf,doc_afcb4f3426b9f49b
Análise de tendências,Análise de tendências,012.pdf,doc_afcb4f3426b9f49b
Análise comparada de modelos,Análise comparada de modelos,012.pdf,doc_afcb4f3426b9f49b
Modelagem Econômica,Modelagem Econômica,013.pdf,doc_eff1ad92fc91d5e5
Análise Comparativa,Análise Comparativa,013.pdf,doc_eff1ad92fc91d5e5
Indicador de Oferta Digital,Indicador de Oferta Digital,013.pdf,doc_eff1ad92fc91d5e5
IEA (Stated Policies),IEA (Stated Policies),014.pdf,doc_48341ed5825e8fd2
IEA (Announced Pledges Scenario),IEA (Announced Pledges Scenario),014.pdf,doc_48341ed5825e8fd2
IEA (Net Zero),IEA (Net Zero),014.pdf,doc_48341ed5825e8fd2
Shell (Sky 2050),Shell (Sky 2050),014.pdf,doc_48341ed5825e8fd2
Shell (Archipielagos),Shell (Archipielagos),014.pdf,doc_48341ed5825e8fd2
BP (Accelerated),BP (Accelerated),014.pdf,doc_48341ed5825e8fd2
BP (Net Zero),BP (Net Zero),014.pdf,doc_48341ed5825e8fd2
BP (New Momentum),BP (New Momentum),014.pdf,doc_48341ed5825e8fd2
OPEC (Reference),OPEC (Reference),014.pdf,doc_48341ed5825e8fd2
Net Zero Emissions (NZE),Net Zero Emissions (NZE),014.pdf,doc_48341ed5825e8fd2
Identificação de fatos portadores de futuro,Identificação de fatos portadores de futuro,016.pdf,doc_047f5a151709c0e8
Sinais do presente,Sinais do presente,016.pdf,doc_047f5a151709c0e8
Hierarquização de fatos,Hierarquização de fatos,016.pdf,doc_047f5a151709c0e8
Incertezas críticas,Incertezas críticas,016.pdf,doc_047f5a151709c0e8
Forças motrizes,Forças motrizes,016.pdf,doc_047f5a151709c0e8
Combinação de cenários,Combinação de cenários,016.pdf,doc_047f5a151709c0e8
Quantificação de cenários,Quantificação de cenários,016.pdf,doc_047f5a151709c0e8
Modelo de consistência macroeconômica,Modelo de consistência macroeconômica,016.pdf,doc_047f5a151709c0e8
Técnicas dedutivas,Técnicas dedutivas,016.pdf,doc_047f5a151709c0e8
Técnicas indutivas,Técnicas indutivas,016.pdf,doc_047f5a151709c0e8
Consultas a especialistas setoriais,Consultas a especialistas setoriais,016.pdf,doc_047f5a151709c0e8
Climate risk assessment,Climate risk assessment,017.pdf,doc_a8ea156901b34a5b
Projeções,Projeções,017.pdf,doc_a8ea156901b34a5b
Cenários,Cenários,017.pdf,doc_a8ea156901b34a5b
Modelagem integrada,Modelagem integrada,018.pdf,doc_ec63bad9ddd83521
Análise de múltiplos cenários de transição,Análise de múltiplos cenários de transição,018.pdf,doc_ec63bad9ddd83521
Cenário de referência,Cenário de referência,018.pdf,doc_ec63bad9ddd83521
Cenário NetZero,Cenário NetZero,018.pdf,doc_ec63bad9ddd83521
Projeções demográficas,Projeções demográficas,020.pdf,doc_50dcf43b51bafb62
