tema_original,tema_normalizado,arquivo_origem,id_documento_logico
Agenda 2030,Agenda 2030,001.pdf,doc_05f886b2ca373f65
Objetivos de Desenvolvimento Sustentável (ODS),Objetivos de Desenvolvimento Sustentável (ODS),001.pdf,doc_05f886b2ca373f65
ODS 1: Erradicação da Pobreza,ODS 1: Erradicação da Pobreza,001.pdf,doc_05f886b2ca373f65
ODS 2: Fome Zero e Agricultura Sustentável,ODS 2: Fome Zero e Agricultura Sustentável,001.pdf,doc_05f886b2ca373f65
ODS 3: Saúde e Bem-Estar,ODS 3: Saúde e Bem-Estar,001.pdf,doc_05f886b2ca373f65
ODS 4: Educação de Qualidade,ODS 4: Educação de Qualidade,001.pdf,doc_05f886b2ca373f65
ODS 5: Igualdade de Gênero,ODS 5: Igualdade de Gênero,001.pdf,doc_05f886b2ca373f65
ODS 6: Água Potável e Saneamento,ODS 6: Água Potável e Saneamento,001.pdf,doc_05f886b2ca373f65
ODS 7: Energia Limpa e Acessível,ODS 7: Energia Limpa e Acessível,001.pdf,doc_05f886b2ca373f65
ODS 8: Trabalho Decente e Crescimento Econômico,ODS 8: Trabalho Decente e Crescimento Econômico,001.pdf,doc_05f886b2ca373f65
"ODS 9: Indústria, Inovação e Infraestrutura","ODS 9: Indústria, Inovação e Infraestrutura",001.pdf,doc_05f886b2ca373f65
ODS 10: Redução das Desigualdades,ODS 10: Redução das Desigualdades,001.pdf,doc_05f886b2ca373f65
ODS 11: Cidades e Comunidades Sustentáveis,ODS 11: Cidades e Comunidades Sustentáveis,001.pdf,doc_05f886b2ca373f65
ODS 12: Consumo e Produção Responsáveis,ODS 12: Consumo e Produção Responsáveis,001.pdf,doc_05f886b2ca373f65
ODS 13: Ação Contra a Mudança Global do Clima,ODS 13: Ação Contra a Mudança Global do Clima,001.pdf,doc_05f886b2ca373f65
ODS 14: Vida na Água,ODS 14: Vida na Água,001.pdf,doc_05f886b2ca373f65
ODS 15: Vida Terrestre,ODS 15: Vida Terrestre,001.pdf,doc_05f886b2ca373f65
"ODS 16: Paz, Justiça e Instituições Eficazes","ODS 16: Paz, Justiça e Instituições Eficazes",001.pdf,doc_05f886b2ca373f65
ODS 17: Parcerias e Meios de Implementação,ODS 17: Parcerias e Meios de Implementação,001.pdf,doc_05f886b2ca373f65
COVID-19,COVID-19,001.pdf,doc_05f886b2ca373f65
Pandemia,Pandemia,001.pdf,doc_05f886b2ca373f65
Desigualdade,Desigualdade,001.pdf,doc_05f886b2ca373f65
Crise política,Crise política,001.pdf,doc_05f886b2ca373f65
Crise econômica,Crise econômica,001.pdf,doc_05f886b2ca373f65
Crise ambiental,Crise ambiental,001.pdf,doc_05f886b2ca373f65
Voluntariado,Voluntariado,002.pdf,doc_1ef6f7fd04bfc171
Sustentabilidade,Sustentabilidade,002.pdf,doc_1ef6f7fd04bfc171
Terceiro Setor,Terceiro Setor,002.pdf,doc_1ef6f7fd04bfc171
Ética,Ética,002.pdf,doc_1ef6f7fd04bfc171
Liderança,Liderança,002.pdf,doc_1ef6f7fd04bfc171
Cidades Inteligentes,Cidades Inteligentes,002.pdf,doc_1ef6f7fd04bfc171
I.A. Virturealidade,IA e Virtualidade,002.pdf,doc_1ef6f7fd04bfc171
