valor_original,valor_normalizado
Bahia,Bahia
Belo Horizonte e Região Metropolitana,Belo Horizonte e Região Metropolitana
Brasil,Nacional
"Brasil, Global",Nacional
"Brasil, Unidades da Federação, Municípios",Nacional
Ceará,Ceará
Distrito Federal,Distrito Federal
Espírito Santo,Espírito Santo
Estado de Goiás,Estado de Goiás
Estado de Sergipe,Estado de Sergipe
Estado do Acre,Estado do Acre
Estado do Amazonas,Estado do Amazonas
Estado do Pará,Estado do Pará
Estado do Rio de Janeiro,Estado do Rio de Janeiro
Estadual (Tocantins),Estadual
"Europa, Global",Global
Fortaleza,Fortaleza
France,France
Global,Global
Global (170 countries),Global
"Global, OECD countries",Global
Ireland,Ireland
Macrometrópole Paulista,Macrometrópole Paulista
Macrometrópole Paulista (MMP),Macrometrópole Paulista (MMP)
Maranhão,Maranhão
Mato Grosso,Mato Grosso
Minas Gerais,Minas Gerais
"Mundial, Brasil",Nacional
"Mundo, Brasil",Nacional
Nacional,Nacional
Nacional (Brasil),Nacional
"Nacional, América do Sul, Atlântico Sul, países da costa ocidental africana, Antártica",Nacional
,
Paraíba,Paraíba
Pernambuco,Pernambuco
Piauí,Piauí
Recife,Recife
Rio Grande do Norte,Rio Grande do Norte
Rio Grande do Sul,Rio Grande do Sul
Rondônia,Rondônia
Roraima,Roraima
Uzbekistan,Uzbekistan
"['Brasil', 'América do Sul', 'Atlântico Sul', 'Continente Antártico', 'Espaço Exterior', 'Espaço Cibernético', 'Internacional']",Nacional
"['Global', 'OECD countries', 'Regions', 'Cities', 'European Union']",Global
"['Mundo', 'Brasil']",Nacional
