valor_original,valor_normalizado
Agência Nacional de Águas (ANA),Agência Nacional de Águas (ANA)
Agência Nacional de Águas e Saneamento Básico (ANA),Agência Nacional de Águas e Saneamento Básico (ANA)
Agência Recife de Inovação e Estratégia - ARIES,Agência Recife de Inovação e Estratégia - ARIES
Assembleia Legislativa do Estado de Sergipe,Assembleia Legislativa do Estado de Sergipe
Associação Brasileira de Bioinovação (ABBI),Associação Brasileira de Bioinovação (ABBI)
BANCO MUNDIAL,BANCO MUNDIAL
"BMA – Barbosa, Müssnich & Aragão","BMA – Barbosa, Müssnich & Aragão"
BNDES,BNDES
Banco Interamericano de Desenvolvimento,Banco Interamericano de Desenvolvimento
Banco Nacional de Desenvolvimento Econômico e Social (BNDES),Banco Nacional de Desenvolvimento Econômico e Social (BNDES)
"Brazilian Center for International Relations (CEBRI), Alexandre de Gusmão Foundation (FUNAG), and Institute for Applied Economic Research (IPEA)","Brazilian Center for International Relations (CEBRI), Alexandre de Gusmão Foundation (FUNAG), and Institute for Applied Economic Research (IPEA)"
CBIE Advisory,CBIE Advisory
CDP Latin America,CDP Latin America
Centro Brasileiro de Relações Internacionais (CEBRI),Centro Brasileiro de Relações Internacionais (CEBRI)
Centro de Estudos Político-Estratégicos da Marinha (CEPE-MB),Centro de Estudos Político-Estratégicos da Marinha (CEPE-MB)
Centro de Estudos e Debates Estratégicos,Centro de Estudos e Debates Estratégicos
Civil Society Working Group for the 2030 Agenda (GTSC A2030),GTSC A2030
"Coalizão Brasil Clima, Florestas e Agricultura","Coalizão Brasil Clima, Florestas e Agricultura"
Comitê Interministerial de Planejamento da Infraestrutura (CIP-INFRA),Comitê Interministerial de Planejamento da Infraestrutura (CIP-INFRA)
Comitê Interministerial sobre Mudança do Clima,Comitê Interministerial sobre Mudança do Clima
Conselho Empresarial para o Desenvolvimento Sustentável (CEBDS),Conselho Empresarial para o Desenvolvimento Sustentável (CEBDS)
Coordenação do Programa FAPESP de Pesquisa sobre Mudanças Climáticas Globais,Coordenação do Programa FAPESP de Pesquisa sobre Mudanças Climáticas Globais
Diagonal,Diagonal
Diagonal Empreendimentos e Gestão de Negócios Ltda.,Diagonal Empreendimentos e Gestão de Negócios Ltda.
EX ANTE CONSULTORIA ECONÔMICA,EX ANTE CONSULTORIA ECONÔMICA
Emplasa,Emplasa
