valor_original,valor_normalizado
Adaptação à Mudança do Clima,Clima
Administração Pública,Administração Pública
Administração Pública Estadual,Administração Pública Estadual
Administração Pública Federal,Administração Pública Federal
"Administração Pública, Planejamento Urbano","Administração Pública, Planejamento Urbano"
Agricultura,Agricultura
Agropecuária,Agropecuária
Aviação Civil,Aviação Civil
Bioeconomia,Economia
Cacauicultura,Cacauicultura
"Ciência, Tecnologia e Inovação","Ciência, Tecnologia e Inovação"
"Ciência, Tecnologia, Inovação, Trabalho, Indústria","Ciência, Tecnologia, Inovação, Trabalho, Indústria"
Data Centers,Data Centers
Defesa,Defesa
Defesa Nacional,Defesa Nacional
Desenvolvimento,Desenvolvimento
Desenvolvimento Econômico,Economia
Desenvolvimento Econômico Sustentável,Economia
Desenvolvimento Estadual,Desenvolvimento Estadual
Desenvolvimento Integrado,Desenvolvimento Integrado
Desenvolvimento Nacional,Desenvolvimento Nacional
Desenvolvimento Regional,Desenvolvimento Regional
Desenvolvimento Social,Desenvolvimento Social
Desenvolvimento Sustentável,Desenvolvimento Sustentável
Desenvolvimento Urbano,Desenvolvimento Urbano
Desenvolvimento Urbano e Regional,Desenvolvimento Urbano e Regional
Development,Development
Direitos Humanos e Assistência Social,Direitos Humanos e Assistência Social
Economia,Economia
"Economia, Social, Meio Ambiente, Educação, Infraestrutura, Finanças Públicas",Educação
Educação,Educação
Empresarial,Empresarial
Energia,Energia
"Energia, Agricultura, Manejo Florestal, Transporte, Indústria, Infraestrutura, Cidades, Proteção Social",Energia
"Energia, Gás Natural, Setor Elétrico",Energia
Energético,Energético
Fertilizantes,Fertilizantes
"Florestas, Agricultura, Agropecuária, Silvicultura",Agricultura
"Food systems, Agriculture, Fisheries, Health, Infrastructure",Saúde
"Geologia, Mineração e Transformação Mineral","Geologia, Mineração e Transformação Mineral"
Gestão Pública Estadual,Gestão Pública Estadual
Governamental,Governamental
"Governança Estratégica, Políticas Públicas","Governança Estratégica, Políticas Públicas"
Governo Municipal e Metropolitano,Governo Municipal e Metropolitano
Habitação,Habitação
"Habitação, Política habitacional, Setor privado, Governo","Habitação, Política habitacional, Setor privado, Governo"
Indústria,Indústria
Infraestrutura,Infraestrutura
"Infraestrutura logística (rodoviário, ferroviário, hidroviário e portuário)",Infraestrutura
Intelligence,Intelligence
Logística e Transportes,Transporte
Meio Ambiente,Meio Ambiente
Meio Ambiente e Mudanças Climáticas,Clima
Meio Ambiente e Sustentabilidade,Meio Ambiente
Mineração,Mineração
Mudança do Clima,Clima
Multissetorial,Multissetorial
,
Planejamento Governamental,Planejamento Governamental
Planejamento Urbano e Regional,Planejamento Urbano e Regional
Política Ambiental,Meio Ambiente
"Políticas Públicas, Desenvolvimento, Planejamento Estratégico","Políticas Públicas, Desenvolvimento, Planejamento Estratégico"
Propriedade Intelectual,Propriedade Intelectual
Public Governance,Public Governance
Public Policy,Public Policy
Public Sector,Public Sector
Público,Público
Recursos Hídricos,Recursos Hídricos
Recursos Hídricos e Saneamento Básico,Recursos Hídricos e Saneamento Básico
Resíduos Sólidos,Resíduos Sólidos
Saneamento,Saneamento
Saneamento Básico,Saneamento Básico
Saneamento básico,Saneamento básico
Saúde,Saúde
Segurança Alimentar e Nutricional,Segurança
Segurança Pública e Defesa Social,Segurança
Setor produtivo e sociedade civil,Sociedade Civil
Social,Social
Social (Infância e Adolescência),Social (Infância e Adolescência)
Tecnologias Digitais,Tecnologias Digitais
