valor_original,valor_normalizado
Agenda,Agenda
Agenda Estratégica,Agenda
Artigo em revista (resumo de relatório),Relatório
Assessment Report,Relatório
Atlas,Atlas
Caderno,Caderno
Carteira de Projetos,Carteira de Projetos
Communiqué,Communiqué
Destaque,Destaque
Documento Base,Documento Base
Documento de Sistema de Gestão,Documento de Sistema de Gestão
Documento de Visão,Documento de Visão
Documento de Visão Estratégica,Documento de Visão Estratégica
Documento de trabalho,Documento de trabalho
Draft Report,Relatório
Ensaio Prospectivo,Ensaio Prospectivo
Estratégia,Estratégia
Estratégia Federal de Desenvolvimento,Estratégia
Estratégia Nacional,Estratégia
Estratégia e Plano de Ação,Plano
Estudo,Estudo
Estudo Estratégico,Estudo
Estudo Técnico,Estudo
Estudo de Cenários,Estudo
Estudo jurídico,Estudo
Livro,Livro
Livro Branco,Livro
Livro eletrônico,Livro
Monografia,Monografia
NOTA DE POLÍTICA ECONÔMICA,NOTA DE POLÍTICA ECONÔMICA
NOTAS DE POLÍTICAS PÚBLICAS PARA O BRASIL,NOTAS DE POLÍTICAS PÚBLICAS PARA O BRASIL
,
PLANO DE DESENVOLVIMENTO INTEGRADO,Plano
Pact,Pact
Paper,Paper
Planejamento Estratégico,Plano
Plano,Plano
Plano Diretor,Plano
Plano Estadual Decenal,Plano
Plano Estratégico,Plano
Plano Estratégico de Desenvolvimento,Plano
Plano Estratégico de Desenvolvimento de longo prazo,Plano
Plano Estratégico de Desenvolvimento e Carteira de Projetos Públicos,Plano
Plano Estratégico de Longo Prazo,Plano
Plano Nacional,Plano
Plano Setorial,Plano
Plano de Ação,Plano
Plano de Desenvolvimento,Plano
Plano de Desenvolvimento Estratégico,Plano
Plano de Políticas Públicas,Plano
Plano de Trabalho Detalhado,Plano
Política e Estratégia,Estratégia
Press kit,Press kit
Projeto,Projeto
Projeto de Nação,Projeto de Nação
Proposta,Proposta
Proposta do Macrossetor Indústria da CUT para o Debate,Proposta do Macrossetor Indústria da CUT para o Debate
Propostas,Propostas
RELATÓRIO PLENO,Relatório
Relatório,Relatório
Relatório Final,Relatório
Relatório Técnico,Relatório
Relatório de propostas,Relatório
Relatório final,Relatório
Report,Relatório
Spotlight,Spotlight
Spotlight Report,Relatório
Sumário Executivo,Sumário Executivo
Texto para Discussão,Texto para Discussão
Textos para Discussão,Textos para Discussão
Visão,Visão
"['Plano Estratégico de Desenvolvimento de Longo Prazo', 'Proposta para discussão com a sociedade', 'Visão de Futuro']",Plano
