sk_instituicao_apoio,id_instituicao_apoio,instituicao_apoio,cluster,categoria,confianca_enriquecimento
1,iap_01427cea243a6343,Rede Nacional de Pessoas Vivendo com HIV e AIDS (RNP+ Brasil),,,
2,iap_03a31a1836299a2b,Instituto de Desenvolvimento e Direitos Humanos (IDDH),,,
3,iap_06821216396a7f8e,"Gestos – Soropositividade, Comunicação e Gênero",,,
4,iap_08361b6909aa939d,The Nature Conservancy Brasil,,,
5,iap_095a400614841e4c,Engajamundo,,,
6,iap_0a952207cd5aca75,Centro de Estudos do Mar (UFPR),,,
7,iap_158899fa3eb0a344,Instituto 5 Elementos - Educação para a Sustentabilidade,,,
8,iap_1e2965e36303e838,University College Cork (MaREI),,,
9,iap_2137018c66492516,Universidade do Vale do Itajaí (UNIVALI),,,
10,iap_2367c14902d38530,Centro Brasil de Saúde Global,,,
11,iap_256bc0e21198641b,GT Agenda 2030 da Comissão de Política Urbana do Instituto de Arquitetos do Brasil,,,
12,iap_2751a1ce129a6d6c,Observatório de Governança das Águas (OGA),,,
13,iap_28e065655cbaa3e0,Programa Interunidades de Pós-Graduação em Análise Ambiental Integrada (PPG-AAI/UNIFESP),,,
14,iap_2d87b5c559ee1b36,"Instituto Nacional de Ciências e Tecnologia em Políticas Públicas, Estratégias e Desenvolvimento (INCT/PPED-UFRJ)",,,
15,iap_3527f2a6f8af3fbe,Instituto Physis - Cultura & Ambiente,,,
16,iap_370f25fffed78fab,Federação Brasileira de Associações de Bibliotecários e Instituições (FEBAB),,,
17,iap_381dc578bc593c45,Casa Fluminense,,,
18,iap_3ae5e6f4035f10c2,Visão Mundial,,,
19,iap_3c42f551b6a583f1,Instituto Pólis,,,
20,iap_3edb16a326f343b7,Ouvidoria do Mar,,,
21,iap_40304c4461838e58,Fórum Nacional de Prevenção e Erradicação do Trabalho Infantil (FNPETI),,,
22,iap_444c52ba4daf79d7,International Energy Initiative (IEI Brasil),,,
23,iap_4a8d43284b68c855,Vital Strategies,,,
24,iap_52b201fe6b421441,Frente por uma Nova Política Energética para o Brasil,,,
25,iap_53a4523c985db107,Coletivo Mangueiras,,,
26,iap_564840c380bf9d62,Fórum de ONGs Aids do Estado de São Paulo,,,
27,iap_5ec6d043359646a5,Instituto de Pesca,,,
28,iap_6260184d7a39ec1b,Universidade do Estado do Rio de Janeiro (UERJ),,,
29,iap_635b6c04804b34f9,Instituto Oceanográfico (IO/USP),,,
30,iap_6c8033b2c96499fa,Plan International Brasil,,,
31,iap_700904e81cdeb880,Agenda Pública,,,
32,iap_718d999030c30bc1,ARTICLE 19 Brasil,,,
33,iap_771340c50de761da,Oceano à Vista,,,
34,iap_7738c3f8164bc1e4,Instituto Brasileiro de Defesa do Consumidor (IDEC),,,
35,iap_7ce1eda9bdc5d35e,Ação Educativa,,,
36,iap_7fdfec7dda1dfd11,Transparência Internacional Brasil,,,
37,iap_86d233ac7f2a617f,"Laboratório de Ecologia e Conservação Marinha, Instituto do Mar (UNIFESP)",,,
38,iap_8aaf0151d25512a4,Rede MAS - Mulheres Atuando pela Sustentabilidade,,,
39,iap_9273a0566dbb7f5e,Observatório Metropolitano ODS (METRODS),,,
40,iap_9373c85151ae21ca,Fundação Joaquim Nabuco (FUNDAJ),,,
41,iap_955671cb17cbff53,Aliança Resíduo Zero Brasil,,,
42,iap_995b58b543ef79d8,Universidade Estadual do Maranhão (UEMA),,,
43,iap_9d4b0e8a12c92587,Instituto Brasileiro de Análises Sociais e Econômicas (IBASE),,,
44,iap_9e1741c8c883f727,Programa Cidades Sustentáveis,,,
45,iap_a2b25384b6c13d52,Geledés - Instituto da Mulher Negra,,,
46,iap_a96f654c8e15649a,Universidade Federal de São Paulo (UNIFESP),,,
47,iap_ac908c198ddd6e05,Universidade Federal da Grande Dourados (UFGD),,,
48,iap_afbd872cc2de4fdd,Instituto Água e Saneamento (IAS),,,
49,iap_afda376ab8cb3aee,WWF-Brasil,,,
50,iap_c0e28280399bd4ea,Instituto de Energia e Ambiente (IEE/USP),,,
51,iap_c11afc8732a549cd,Instituto Democracia e Sustentabilidade (IDS),,,
52,iap_c14c98064b0de380,Associação Brasileira de Combate ao Lixo no Mar (ABLM),,,
53,iap_c182ce6b3b2939c0,Comitê de Articulação Energia e Comunidades,,,
54,iap_c37c25152c64efb5,Universidade de Brasília (UnB),,,
55,iap_ccf9120e259d3ef5,Associação Brasileira de Organizações Não Governamentais (ABONG),,,
56,iap_cec7ff9724bf9317,Movimento Nacional das Cidadãs Posithivas (MNCP),,,
57,iap_dd60660a5c182edf,Oxfam Brasil,,,
58,iap_e2b81b7d749d9676,ActionAid,,,
59,iap_e98327e249fa84e6,Instituto Costa Brasilis,,,
60,iap_f1fa5e65969b95c9,Wildlife Conservation Society Brasil,,,
61,iap_f2b5663d5b019681,Campanha Nacional pelo Direito à Educação,,,
62,iap_f4d13aaa461fd2a5,Clímax Brasil,,,
63,iap_f66a92fbd48242c4,Universidade de Pernambuco (UPE),,,
64,iap_f6f625b3feec3c2f,Instituto Maramar,,,
65,iap_f93c5f6090ffaf49,Rede Brasileira de População e Desenvolvimento (REBRAPD),,,
66,iap_fa18e70da8590c6d,Parceria Brasileira contra a Tuberculose – Stop TB Brasil,,,
67,iap_fb32f1c0126b70a4,Instituto de Filosofia e Ciências Sociais (IFCS/UFRJ),,,
68,iap_fb6207cb07a32bdd,ACT Promoção da Saúde,,,
69,iap_fde0d6f0b3b18a39,Instituto de Estudos Socioeconômicos (INESC),,,
70,iap_ff419b65af1ea681,Fundação Grupo Esquel Brasil,,,
