id_tema,tema,macrotema,subtema
tem_e4ba0f638aa585c7,Agenda 2030,Agenda 2030 e ODS,ODS / Agenda 2030
tem_dcaa4c2bfdf8d65e,Objetivos de Desenvolvimento Sustentável,Outros / Não Classificado,Outros
tem_f88f6fb8a6bb10bd,COVID-19,Outros / Não Classificado,Saúde
tem_d401b351175a4fde,Pobreza,Desenvolvimento Social,Pobreza e Desigualdade
tem_7e11c844d111c007,Fome,Desenvolvimento Social,Pobreza e Desigualdade
tem_021fb0b47bc30e1a,Segurança Alimentar,Outros / Não Classificado,Outros
tem_a4c5a40eadcb0cb2,Nutrição,Outros / Não Classificado,Outros
tem_1b042041e6ca8569,Agricultura Sustentável,Outros / Não Classificado,Outros
tem_122220c4c3bc1c2e,Saúde,Desenvolvimento Social,Saúde
tem_a5f4a9e89b76fed3,Bem-estar,Outros / Não Classificado,Outros
tem_c2e049285953c729,Educação,Desenvolvimento Social,Educação
tem_94d8a664528956ee,Igualdade de Gênero,Desenvolvimento Social,Gênero e Diversidade
tem_c1c415c6ae2d8422,Água Potável,Outros / Não Classificado,Outros
tem_faf9e30ddfc06138,Saneamento,Outros / Não Classificado,Outros
tem_abb874b28741560e,Energia Sustentável,Meio Ambiente e Clima,Energia
tem_0b150ead6f54103d,Crescimento Econômico,Economia e Trabalho,Outros
tem_35c6aeffc54f5b16,Emprego,Economia e Trabalho,Outros
tem_549569e6184b588b,Infraestrutura Resiliente,Outros / Não Classificado,Outros
tem_8aad09c59b7ab8c6,Industrialização Sustentável,Economia e Trabalho,Tecnologia
tem_7adee233cff65220,Inovação,"Ciência, Tecnologia e Inovação",Outros
tem_c8cb801feed4b07c,Redução das Desigualdades,Desenvolvimento Social,Pobreza e Desigualdade
tem_53e8821e219d7a96,Cidades e Comunidades Sustentáveis,Outros / Não Classificado,Outros
tem_3f882403bf57c21d,Padrões de Produção e Consumo Sustentáveis,Outros / Não Classificado,Outros
tem_57706fc7e7955ae0,Mudanças Climáticas,Meio Ambiente e Clima,Clima
tem_3bac39de03f25c89,Oceanos,Meio Ambiente e Clima,Biodiversidade e Ecossistemas
tem_a162eeb4db5f57bf,Mares,Outros / Não Classificado,Outros
tem_b7279aa989136c48,Recursos Marinhos,Outros / Não Classificado,Outros
tem_f5a4e974cae39bb6,Ecossistemas Terrestres,Meio Ambiente e Clima,Biodiversidade e Ecossistemas
tem_063fa89e1275f192,Gestão Florestal Sustentável,Meio Ambiente e Clima,Biodiversidade e Ecossistemas
tem_0dbba7bb1b02861e,Combate à Desertificação,Outros / Não Classificado,Outros
tem_fb0d745a72655fbf,Degradação do Solo,Outros / Não Classificado,Outros
tem_c75d8e97a8d36040,Perda de Biodiversidade,Meio Ambiente e Clima,Biodiversidade e Ecossistemas
tem_0c525ac3be6d28e5,Sociedades Pacíficas e Inclusivas,Outros / Não Classificado,Outros
tem_04bf4b2cd2c01926,Acesso à Justiça,Governança e Instituições,Outros
tem_bc5de9439a63f7ab,"Instituições Eficazes, Responsáveis e Inclusivas",Governança e Instituições,Governança
tem_fc25de61862576d9,Meios de implementação,Outros / Não Classificado,Outros
tem_03dd0849c41a3c6a,Parceria Global para o Desenvolvimento Sustentável,"Ciência, Tecnologia e Inovação",Tecnologia
tem_5d28ed5eda9c9b01,Políticas Públicas,Outros / Não Classificado,Outros
tem_1c76fa693581eae3,Governança,Governança e Instituições,Governança
tem_dd8f84d67cd779d7,Sociedade Civil,Outros / Não Classificado,Outros
tem_118b11e8e454ba9d,Direitos Humanos,Desenvolvimento Social,Outros
tem_1c0188bbf3f56c2b,Questões Ambientais,Meio Ambiente e Clima,Outros
tem_49ebe9e6bf7fc787,Proteção Social,"Ciência, Tecnologia e Inovação",Tecnologia
tem_acdd876a41328654,Questões Econômicas,Economia e Trabalho,Outros
tem_debf50d01c0f779d,Crise Política,Outros / Não Classificado,Outros
tem_46fdf01c8095141c,Desigualdades,Desenvolvimento Social,Pobreza e Desigualdade
tem_dab0853d2a3f3727,Voluntariado,Desenvolvimento Social,Tecnologia
tem_b3b6ba077f98d43e,Sustentabilidade,Meio Ambiente e Clima,Outros
tem_2c7450e1cb22f246,Terceiro Setor,Outros / Não Classificado,Outros
tem_20b1e35e14755ca6,Ética,Outros / Não Classificado,Outros
tem_2875faf65bd233c5,Liderança,Outros / Não Classificado,Outros
