sk_documento,id_documento_logico,sk_condicionante,id_condicionante
1,doc_05f886b2ca373f65,6,con_6b8eee71d1001e52
1,doc_05f886b2ca373f65,14,con_d8168d0e03ce6271
1,doc_05f886b2ca373f65,15,con_e306c41411c09a78
1,doc_05f886b2ca373f65,13,con_ce4770b08b129cfc
1,doc_05f886b2ca373f65,12,con_ccef2284dd4bf3ce
1,doc_05f886b2ca373f65,16,con_ed01c5b0853bb1a9
1,doc_05f886b2ca373f65,7,con_70b8f9041a1ff2e0
1,doc_05f886b2ca373f65,3,con_4aacd95b5f72ef2d
1,doc_05f886b2ca373f65,5,con_6b7369eb468779e8
1,doc_05f886b2ca373f65,17,con_f47f73b3d7bc18d9
1,doc_05f886b2ca373f65,11,con_b255ba6e4daa4d74
1,doc_05f886b2ca373f65,1,con_28ba64bd29499485
1,doc_05f886b2ca373f65,10,con_a16b36669ca6e389
1,doc_05f886b2ca373f65,4,con_5b373e6a70d1fc0b
1,doc_05f886b2ca373f65,2,con_379396f1f9d08f8d
1,doc_05f886b2ca373f65,9,con_92917eff57f5efd3
1,doc_05f886b2ca373f65,8,con_897cf6a0380ae01f
1,doc_05f886b2ca373f65,18,con_f614d64b9fd8651d
