sk_documento,id_documento_logico,sk_instituicao_apoio,id_instituicao_apoio
1,doc_05f886b2ca373f65,32,iap_718d999030c30bc1
1,doc_05f886b2ca373f65,3,iap_06821216396a7f8e
1,doc_05f886b2ca373f65,35,iap_7ce1eda9bdc5d35e
1,doc_05f886b2ca373f65,68,iap_fb6207cb07a32bdd
1,doc_05f886b2ca373f65,58,iap_e2b81b7d749d9676
1,doc_05f886b2ca373f65,31,iap_700904e81cdeb880
1,doc_05f886b2ca373f65,41,iap_955671cb17cbff53
1,doc_05f886b2ca373f65,52,iap_c14c98064b0de380
1,doc_05f886b2ca373f65,55,iap_ccf9120e259d3ef5
1,doc_05f886b2ca373f65,61,iap_f2b5663d5b019681
1,doc_05f886b2ca373f65,17,iap_381dc578bc593c45
1,doc_05f886b2ca373f65,10,iap_2367c14902d38530
1,doc_05f886b2ca373f65,6,iap_0a952207cd5aca75
1,doc_05f886b2ca373f65,62,iap_f4d13aaa461fd2a5
1,doc_05f886b2ca373f65,25,iap_53a4523c985db107
1,doc_05f886b2ca373f65,53,iap_c182ce6b3b2939c0
1,doc_05f886b2ca373f65,5,iap_095a400614841e4c
1,doc_05f886b2ca373f65,16,iap_370f25fffed78fab
1,doc_05f886b2ca373f65,26,iap_564840c380bf9d62
1,doc_05f886b2ca373f65,21,iap_40304c4461838e58
1,doc_05f886b2ca373f65,24,iap_52b201fe6b421441
1,doc_05f886b2ca373f65,70,iap_ff419b65af1ea681
1,doc_05f886b2ca373f65,40,iap_9373c85151ae21ca
1,doc_05f886b2ca373f65,45,iap_a2b25384b6c13d52
1,doc_05f886b2ca373f65,11,iap_256bc0e21198641b
1,doc_05f886b2ca373f65,43,iap_9d4b0e8a12c92587
1,doc_05f886b2ca373f65,2,iap_03a31a1836299a2b
1,doc_05f886b2ca373f65,34,iap_7738c3f8164bc1e4
1,doc_05f886b2ca373f65,51,iap_c11afc8732a549cd
1,doc_05f886b2ca373f65,50,iap_c0e28280399bd4ea
1,doc_05f886b2ca373f65,22,iap_444c52ba4daf79d7
1,doc_05f886b2ca373f65,69,iap_fde0d6f0b3b18a39
1,doc_05f886b2ca373f65,7,iap_158899fa3eb0a344
1,doc_05f886b2ca373f65,48,iap_afbd872cc2de4fdd
1,doc_05f886b2ca373f65,59,iap_e98327e249fa84e6
1,doc_05f886b2ca373f65,67,iap_fb32f1c0126b70a4
1,doc_05f886b2ca373f65,27,iap_5ec6d043359646a5
1,doc_05f886b2ca373f65,64,iap_f6f625b3feec3c2f
1,doc_05f886b2ca373f65,14,iap_2d87b5c559ee1b36
1,doc_05f886b2ca373f65,29,iap_635b6c04804b34f9
1,doc_05f886b2ca373f65,15,iap_3527f2a6f8af3fbe
1,doc_05f886b2ca373f65,19,iap_3c42f551b6a583f1
1,doc_05f886b2ca373f65,37,iap_86d233ac7f2a617f
1,doc_05f886b2ca373f65,56,iap_cec7ff9724bf9317
1,doc_05f886b2ca373f65,12,iap_2751a1ce129a6d6c
1,doc_05f886b2ca373f65,39,iap_9273a0566dbb7f5e
1,doc_05f886b2ca373f65,33,iap_771340c50de761da
1,doc_05f886b2ca373f65,20,iap_3edb16a326f343b7
1,doc_05f886b2ca373f65,57,iap_dd60660a5c182edf
1,doc_05f886b2ca373f65,66,iap_fa18e70da8590c6d
1,doc_05f886b2ca373f65,30,iap_6c8033b2c96499fa
1,doc_05f886b2ca373f65,44,iap_9e1741c8c883f727
1,doc_05f886b2ca373f65,13,iap_28e065655cbaa3e0
1,doc_05f886b2ca373f65,65,iap_f93c5f6090ffaf49
1,doc_05f886b2ca373f65,38,iap_8aaf0151d25512a4
1,doc_05f886b2ca373f65,1,iap_01427cea243a6343
1,doc_05f886b2ca373f65,4,iap_08361b6909aa939d
1,doc_05f886b2ca373f65,36,iap_7fdfec7dda1dfd11
1,doc_05f886b2ca373f65,54,iap_c37c25152c64efb5
1,doc_05f886b2ca373f65,63,iap_f66a92fbd48242c4
1,doc_05f886b2ca373f65,28,iap_6260184d7a39ec1b
1,doc_05f886b2ca373f65,9,iap_2137018c66492516
1,doc_05f886b2ca373f65,42,iap_995b58b543ef79d8
1,doc_05f886b2ca373f65,47,iap_ac908c198ddd6e05
1,doc_05f886b2ca373f65,46,iap_a96f654c8e15649a
1,doc_05f886b2ca373f65,8,iap_1e2965e36303e838
1,doc_05f886b2ca373f65,18,iap_3ae5e6f4035f10c2
1,doc_05f886b2ca373f65,23,iap_4a8d43284b68c855
1,doc_05f886b2ca373f65,60,iap_f1fa5e65969b95c9
1,doc_05f886b2ca373f65,49,iap_afda376ab8cb3aee
