id_documento_logico,id_referencia
doc_5ba60d8ea1c8ec6a,ref_c10215b87111cd3b
doc_5ba60d8ea1c8ec6a,ref_b59d12285ce9d013
doc_5ba60d8ea1c8ec6a,ref_53638f169c0da71b
doc_5ba60d8ea1c8ec6a,ref_dacd73b0e4c144e2
doc_5ba60d8ea1c8ec6a,ref_e639ac1a96b33fd0
doc_5ba60d8ea1c8ec6a,ref_c74673957c47788c
doc_5ba60d8ea1c8ec6a,ref_fa71cf23a5d9ed2f
doc_5ba60d8ea1c8ec6a,ref_9cf0dfc6355d8078
doc_5ba60d8ea1c8ec6a,ref_cdf9b20c0e045933
doc_5ba60d8ea1c8ec6a,ref_7fd3b773b2ceb928
doc_5ba60d8ea1c8ec6a,ref_e3dc3a106bf32d38
doc_5ba60d8ea1c8ec6a,ref_8731e129bbb110e3
doc_5ba60d8ea1c8ec6a,ref_e67153461a7552cf
doc_5ba60d8ea1c8ec6a,ref_a06c8f434ef4de0e
doc_5ba60d8ea1c8ec6a,ref_f17b9df0a2d3a433
doc_5ba60d8ea1c8ec6a,ref_bce12ae76cdb3676
doc_5ba60d8ea1c8ec6a,ref_b592f69b51515641
doc_5ba60d8ea1c8ec6a,ref_ae0fe95a66054893
doc_5ba60d8ea1c8ec6a,ref_5b90a2f1a7efbc95
doc_5ba60d8ea1c8ec6a,ref_5742d7ed6a517456
doc_5ba60d8ea1c8ec6a,ref_807988dd573cd6ae
doc_1ef6f7fd04bfc171,ref_a522c2da43080b48
doc_1ef6f7fd04bfc171,ref_17edd47a65d9f6ae
doc_1ef6f7fd04bfc171,ref_cd918a64473c4351
doc_1ef6f7fd04bfc171,ref_99848fef542f5b2d
doc_1ef6f7fd04bfc171,ref_f4dccde358d70b7e
doc_1ef6f7fd04bfc171,ref_a212b091f25a6afc
doc_1ef6f7fd04bfc171,ref_356d1867526dd15b
doc_1ef6f7fd04bfc171,ref_1194a3e78eb6eae8
doc_1ef6f7fd04bfc171,ref_80f413463b90caa9
doc_1ef6f7fd04bfc171,ref_99fb24f277c2677b
doc_1ef6f7fd04bfc171,ref_20fa9d53b769dc98
doc_1ef6f7fd04bfc171,ref_4ab7b4bccca62c84
doc_1ef6f7fd04bfc171,ref_4e20ebf12a8c74ec
doc_1ef6f7fd04bfc171,ref_3c6543764909d482
doc_1ef6f7fd04bfc171,ref_13c371e88a31b363
doc_1ef6f7fd04bfc171,ref_4c3754433dce9972
doc_1ef6f7fd04bfc171,ref_dfbbf8fa8f502bdd
doc_1ef6f7fd04bfc171,ref_a4314f344c1b0010
doc_1ef6f7fd04bfc171,ref_a055539ca9495bab
doc_1ef6f7fd04bfc171,ref_5236c8950c741ba6
doc_1ef6f7fd04bfc171,ref_8fb3916b6643c4be
doc_1ef6f7fd04bfc171,ref_d067adb0e32ff7ac
doc_1ef6f7fd04bfc171,ref_0c09373fd5055049
doc_1ef6f7fd04bfc171,ref_c788c3d23ba17852
doc_1ef6f7fd04bfc171,ref_672c54b4814c1cb6
doc_1ef6f7fd04bfc171,ref_27d76d89973ba2b3
doc_1ef6f7fd04bfc171,ref_f4861bf4101b58dd
doc_1ef6f7fd04bfc171,ref_b3fb851d48b533bb
doc_1ef6f7fd04bfc171,ref_64e8d29ab142a381
doc_1ef6f7fd04bfc171,ref_028835a0c5d1a787
doc_49e12d5670dda940,ref_f7b0fecfd3493200
doc_49e12d5670dda940,ref_1d4d374dfb234268
doc_49e12d5670dda940,ref_678308ed1b82064a
doc_49e12d5670dda940,ref_286da1f041cf1d3f
doc_196accfdd54b1443,ref_1617c363bc1b02a2
doc_196accfdd54b1443,ref_8269b97fa9df9f30
doc_196accfdd54b1443,ref_681549367bbc8fd8
doc_196accfdd54b1443,ref_bd0d8dc21f8cea51
doc_196accfdd54b1443,ref_d824c0d521b8df68
doc_196accfdd54b1443,ref_835a078b531be44f
doc_196accfdd54b1443,ref_0d58946fd9a11212
doc_196accfdd54b1443,ref_40c279abb4ffa7cb
doc_196accfdd54b1443,ref_16fe40e231f61078
doc_196accfdd54b1443,ref_154f3890376959bf
doc_196accfdd54b1443,ref_a5a7a55025136d3b
doc_196accfdd54b1443,ref_01b3783055df5463
doc_196accfdd54b1443,ref_8c357292ef157657
doc_196accfdd54b1443,ref_f1c2faaab00eb7ce
doc_196accfdd54b1443,ref_79c037da698cb83c
doc_196accfdd54b1443,ref_44cbbb73b745d3b3
doc_196accfdd54b1443,ref_78ab804f3b023146
doc_196accfdd54b1443,ref_6a96cc3ad030b1bc
doc_196accfdd54b1443,ref_aa118de00171b01e
