sk_documento,id_documento_logico,sk_tema,id_tema_hash
1,doc_05f886b2ca373f65,29,tem_e4ba0f638aa585c7
1,doc_05f886b2ca373f65,26,tem_dcaa4c2bfdf8d65e
1,doc_05f886b2ca373f65,16,tem_8a0dc62b268d4a4e
1,doc_05f886b2ca373f65,23,tem_d69e79433d2f8616
1,doc_05f886b2ca373f65,28,tem_e427e650ac0625c1
1,doc_05f886b2ca373f65,24,tem_d90c32127d06e538
1,doc_05f886b2ca373f65,6,tem_3451d0740180cf35
1,doc_05f886b2ca373f65,19,tem_aac559440fac4854
1,doc_05f886b2ca373f65,11,tem_674d5dcdf3c686f5
1,doc_05f886b2ca373f65,1,tem_039105641ea3aca2
1,doc_05f886b2ca373f65,20,tem_abbc4071f0614752
1,doc_05f886b2ca373f65,17,tem_8ddab356d31a0131
1,doc_05f886b2ca373f65,30,tem_edadbc15198df5e4
1,doc_05f886b2ca373f65,31,tem_f26a0348c477d1fe
1,doc_05f886b2ca373f65,13,tem_6fa800b771236bd6
1,doc_05f886b2ca373f65,12,tem_69b6a34ff4e097c1
1,doc_05f886b2ca373f65,21,tem_aec9799962cf7227
1,doc_05f886b2ca373f65,10,tem_65464361ba78db80
1,doc_05f886b2ca373f65,9,tem_618cd3187a43dda2
1,doc_05f886b2ca373f65,32,tem_f88f6fb8a6bb10bd
1,doc_05f886b2ca373f65,15,tem_8332db0154ca2a1e
1,doc_05f886b2ca373f65,14,tem_7fef625dc34d1f3f
1,doc_05f886b2ca373f65,27,tem_debf50d01c0f779d
1,doc_05f886b2ca373f65,8,tem_56ae1c2890c04d23
1,doc_05f886b2ca373f65,18,tem_901f78ef43224254
2,doc_1ef6f7fd04bfc171,25,tem_dab0853d2a3f3727
2,doc_1ef6f7fd04bfc171,22,tem_b3b6ba077f98d43e
2,doc_1ef6f7fd04bfc171,4,tem_2c7450e1cb22f246
2,doc_1ef6f7fd04bfc171,2,tem_20b1e35e14755ca6
2,doc_1ef6f7fd04bfc171,3,tem_2875faf65bd233c5
2,doc_1ef6f7fd04bfc171,7,tem_54067cfcce9e0e2f
2,doc_1ef6f7fd04bfc171,5,tem_3168f8a166a1dda6
